entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1009757-GGA,Se,-6.713195323944092,-3.356597661972046,2
mp-1077723-GGA,Zr,-51.051883697509766,-8.508647282918295,6
mp-1183040-GGA,ZrSe,-14.723674774169922,-7.361837387084961,2
mp-1187073-GGA,Sr,-4.914000511169434,-1.6380001703898113,3
mp-1215359-GGA,Zr5Se8,-87.26181030273438,-6.7124469463641825,13
mp-1215400-GGA,Zr3Se4,-48.5643196105957,-6.937759944370815,7
mp-1215598-GGA,Zr2Se3,-68.63409423828125,-6.863409423828125,10
mp-1247808-GGA,Se,-13.250526428222656,-3.312631607055664,4
mp-131-GGA,Zr,-17.058055877685547,-8.529027938842773,2
mp-139-GGA,Sr,-3.275398015975952,-1.637699007987976,2
mp-14-GGA,Se,-10.419937133789062,-3.4733123779296875,3
mp-147-GGA,Se,-20.834545135498047,-3.4724241892496743,6
mp-1683-GGA,ZrSe3,-46.540069580078125,-5.817508697509766,8
mp-2076-GGA,ZrSe2,-19.573392868041992,-6.524464289347331,3
mp-22642-GGA,Zr2Se,-280.4056396484375,-7.78904554578993,36
mp-2758-GGA,SrSe,-9.261570930480957,-4.6307854652404785,2
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-541570-GGA,SrZrSe3,-114.69235229492188,-5.734617614746094,20
mp-542461-GGA,Se,-111.69461059570312,-3.4904565811157227,32
mp-542605-GGA,Se,-111.68087005615234,-3.4900271892547607,32
mp-567826-GGA,Sr,-6.029848098754883,-1.5074620246887207,4
mp-570481-GGA,Se,-223.7403564453125,-3.495943069458008,64
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-7755-GGA,Se,-3.311009168624878,-3.311009168624878,1
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-867202-GGA,Sr,-6.557855606079102,-1.6394639015197754,4
mp-95-GGA,Sr,-1.6313024759292603,-1.6313024759292603,1
