chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_c7b14b4b/output.json,Se3SrZr,e_above_hull=0.1822 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_0b9673ec-733d-4e2a-b5c5-8103841ea609,[],[],0.05,0.18216495513916175,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_82635b33-29cd-4643-88ff-7e36375e5d7c,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1d22d80e-8eb8-4fca-9db8-3a18725ff318,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_351ff71b/output.json,Se3SrZr,e_above_hull=0.2384 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_a98ce637-22cf-4dd7-a077-c4746030f021,[],[],0.05,0.238385963439943,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8e0e3326-1f8c-43ba-b127-480086cdbd2c,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1e82f732-91fa-429a-ada6-dfa691c28cf3,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_a862c713/output.json,Se3SrZr,e_above_hull=0.1871 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_6bfd8ff9-5b26-43ac-9157-711d6550339d,[],[],0.05,0.18713283538818537,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_17b06a06-ee91-486e-9cd8-67f32c45f8dd,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_73364ade-4ba7-455f-b6ec-f2ebb70ab0ae,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_727b2a49/output.json,Se3SrZr,e_above_hull=0.1899 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_e36219c6-1f23-4513-99cf-f143a6a36cc6,[],[],0.05,0.18985576629638867,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4d24db54-ca9f-4af2-927b-85cfa95d6a70,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7d98fba9-a20c-49a0-ab11-6c440dce83bb,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_76f73cbe/output.json,Se3SrZr,e_above_hull=0.1866 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_b7e5f1f7-23b8-4369-9a00-ffd98eb669be,[],[],0.05,0.18655643463134997,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d5707c87-5090-429f-844b-86c0f8efd369,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_812aa990-9fcc-4086-a1f0-ca2c2e53df0e,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_3ff62a56/output.json,Se3SrZr,e_above_hull=0.1984 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_fd387c00-a669-45b4-b5aa-80c0a6478691,[],[],0.05,0.19841899871826385,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fcc9f6db-15d6-40fe-b0b5-6844d16837ee,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b92a9ce8-a7ab-4ab1-bf75-1d406dff4700,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_5fbb8ad7/output.json,Se3SrZr,e_above_hull=0.1852 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_4ab17d12-77bb-421f-ad09-7bf1e4041da2,[],[],0.05,0.18520641326904475,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a97b56bb-563a-4a6c-b5b9-6c5f175dabc0,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bb6c67f9-1f2b-40f5-ae07-04cf69ff0513,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_e576325a/output.json,Se3SrZr,e_above_hull=0.1910 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c46a9167-0128-454b-a1f6-f197381a028e,[],[],0.05,0.19098606109619354,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6a6bd569-83fb-4dc6-a2cc-220d54852b10,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bb7f9fa2-9e52-49b9-915c-145ad0349fb8,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_d6814c56/output.json,Se3SrZr,e_above_hull=0.2007 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7c0443be-db6e-4d68-9134-351ecec33fd3,[],[],0.05,0.20067195892334144,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0bc72c9c-333e-47a7-a17c-14cf6541bf4d,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e5443687-82ee-41d7-b7ca-23c2e5d301cc,Se3SrZr
Se3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_FVmYUm4ORXEy61hd5GwS42gB/structures/Se3SrZr_3987440b/output.json,Se3SrZr,e_above_hull=0.1968 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_dacba1dd-6f37-4d8a-9a3d-7bf515ee94a1,[],[],0.05,0.19682521820068555,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bb4555b6-483d-4f0a-a24a-e716f1e8ed2b,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca67a720-a584-4da8-9a41-ec0d6069afaf,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ec694a41-02af-4d52-82bf-3077a21dd557,Se3SrZr
