entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699113965034485,-0.9699113965034485,1
mp-1007760-GGA,Ge,-18.05756378173828,-4.51439094543457,4
mp-1007976-GGA,Cs,-3.876828193664551,-0.9692070484161377,4
mp-1012110-GGA,Cs,-3.8688206672668457,-0.9672051668167114,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1068340-GGA,CsGeBr3,-15.936429977416992,-3.1872859954833985,5
mp-1080106-GGA,Ge,-34.99950408935547,-4.374938011169434,8
mp-1091415-GGA,Ge,-36.1125602722168,-4.5140700340271,8
mp-1096915-GGA,Cs,-0.9699759483337402,-0.9699759483337402,1
mp-1120813-GGA,Br,-49.43352127075195,-1.5447975397109985,32
mp-1181521-GGA,CsGe,-11.172369003295898,-2.7930922508239746,4
mp-1182809-GGA,Cs,-3.88065767288208,-0.97016441822052,4
mp-11832-GGA,Cs,-1.9375134706497192,-0.9687567353248596,2
mp-1183694-GGA,Cs,-0.9687344431877136,-0.9687344431877136,1
mp-1183897-GGA,Cs,-19.193464279174805,-0.9596732139587403,20
mp-1184151-GGA,Cs,-27.77850914001465,-0.9578796255177465,29
mp-1184708-GGA,GeBr2,-18.772695541381836,-3.128782590230306,6
mp-1198022-GGA,Ge,-151.87733459472656,-4.4669804292566635,34
mp-1273-GGA,CsGe,-187.32296752929688,-2.9269213676452637,64
mp-128-GGA,Ge,-34.816017150878906,-4.352002143859863,8
mp-137-GGA,Ge,-52.05698013305664,-4.33808167775472,12
mp-22906-GGA,CsBr,-6.019260406494141,-3.0096302032470703,2
mp-23154-GGA,Br,-6.451779842376709,-1.6129449605941772,4
mp-27641-GGA,CsBr3,-38.82527542114258,-2.426579713821411,16
mp-3-GGA,Cs,-1.9382394552230835,-0.9691197276115417,2
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90509796142578,-3.1627124150594077,24
mp-567604-GGA,GeBr4,-56.984798431396484,-2.8492399215698243,20
mp-570223-GGA,CsGeBr3,-15.858774185180664,-3.171754837036133,5
mp-571222-GGA,CsBr,-6.10579776763916,-3.05289888381958,2
mp-571246-GGA,GeBr4,-113.92910766601562,-2.848227691650391,40
mp-573579-GGA,Cs,-7.748782634735107,-0.9685978293418884,8
mp-639727-GGA,Cs,-3.878366470336914,-0.9695916175842285,4
mp-642739-GGA,CsGeBr3,-15.937080383300781,-3.1874160766601562,5
mp-672241-GGA,Cs,-7.7335357666015625,-0.9666919708251953,8
mp-866501-GGA,CsGe,-93.07613372802734,-2.9086291790008545,32
mp-949029-GGA,Cs,-7.647414207458496,-0.955926775932312,8
mp-998864-GGA,Br,-1.5280722379684448,-1.5280722379684448,1
