chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3CsGe,1.512338399887085,https://elagente.ca/grafico/ConceptualAtoms_2d3c667d-521e-4bc3-be68-83b7630010f2,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_161db5ee-8e55-46f4-bed3-33a6a5735790,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_3e67d9c9/output.json,0.05,0.0017482757568374474,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_50423bf9-b4ba-4a6b-9f54-d069da65ede9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2d3c667d-521e-4bc3-be68-83b7630010f2,Br3CsGe
Br3CsGe,1.3415477275848389,https://elagente.ca/grafico/ConceptualAtoms_68f026f6-930f-4f6d-9ded-a8d06382da28,-7.2455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2f813462-ad9b-4fab-a63d-fb580be885c3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_10baf3a9/output.json,0.05,0.0043024063110364,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2bfc4445-f686-4645-8e4e-529685fd03c8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_68f026f6-930f-4f6d-9ded-a8d06382da28,Br3CsGe
Br3CsGe,1.1978672742843628,https://elagente.ca/grafico/ConceptualAtoms_6c5d71b9-2ff0-4bd3-af16-ecb7f81b13a3,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_28a1470f-60d8-4145-bed4-16542ef6430f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_8f14f5f0/output.json,0.05,0.005189514160157671,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ceb80788-a419-4bb3-b649-d17e9d9672e5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6c5d71b9-2ff0-4bd3-af16-ecb7f81b13a3,Br3CsGe
Br3CsGe,1.8911043405532837,https://elagente.ca/grafico/ConceptualAtoms_74f54368-0781-4593-bff0-f427c66cc4cb,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ca3dc5c5-4ce8-48d1-a506-f8628d60bd8b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_566e48fb/output.json,0.05,0.0013387680053722484,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7426907b-6c54-44ad-8ce8-b5a7dc5cf249,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_74f54368-0781-4593-bff0-f427c66cc4cb,Br3CsGe
Br3CsGe,1.755684733390808,https://elagente.ca/grafico/ConceptualAtoms_823538da-0637-4a08-9410-8c3050cc2a36,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a780ef87-dde0-41a7-a339-eefa7e3798d3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_5f8116af/output.json,0.05,0.00020122528076305102,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8fb5eda2-f902-4843-b1ce-77e29a60bf07,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_823538da-0637-4a08-9410-8c3050cc2a36,Br3CsGe
Br3CsGe,1.9355769157409668,https://elagente.ca/grafico/ConceptualAtoms_bfb622c5-c1f3-4aad-a628-f7e08fa097c1,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_99dfd0fe-c352-4445-8788-e4d7d1c19df4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_d35f4304/output.json,0.05,0.0004964828491225148,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_213815c0-6f43-4704-aff4-621a2476e408,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bfb622c5-c1f3-4aad-a628-f7e08fa097c1,Br3CsGe
Br3CsGe,1.7222309112548828,https://elagente.ca/grafico/ConceptualAtoms_c16c1a36-aea7-4e81-bde5-492de9ddcd1e,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0c3c4ef4-e7c2-472f-9f9c-3dd48608cdbf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_c99883ea/output.json,0.05,0.0005546569824232961,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f5f5de65-ac04-42bd-8808-8e7458970f50,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c16c1a36-aea7-4e81-bde5-492de9ddcd1e,Br3CsGe
Br3CsGe,1.786436676979065,https://elagente.ca/grafico/ConceptualAtoms_c81250ee-016b-444f-a684-61654437e8f3,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ffaa0b10-e6b5-4189-80da-a376c1cfcaa9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_9214212f/output.json,0.05,0.00021171569824351977,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9f9401b5-cea2-445a-9e83-6c13f28c2cc2,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c81250ee-016b-444f-a684-61654437e8f3,Br3CsGe
Br3CsGe,1.8076119422912598,https://elagente.ca/grafico/ConceptualAtoms_cfdaae3e-e423-4d6d-9552-b21c7e631897,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_54207aed-2e00-4519-a5c0-27d804916df5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_560a5e2a/output.json,0.05,0.0002321243286145247,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9ae46b4e-107a-4c4c-9b30-5f7f31e0c486,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cfdaae3e-e423-4d6d-9552-b21c7e631897,Br3CsGe
Br3CsGe,1.8624564409255981,https://elagente.ca/grafico/ConceptualAtoms_d3e829eb-2010-447b-8879-f2aeb6b71a75,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a48a5d1a-ae00-41db-be96-5c5a840d2026,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H36FTGygsA2NqmUVsaVkNwBv/structures/Br3CsGe_55466f68/output.json,0.05,0.00039138793945436845,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a5c1e5fc-3ce9-42ca-9400-3f1dff2d8285,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_82edd1e9-e59c-4749-88d8-d0fbfb1f25de,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d3e829eb-2010-447b-8879-f2aeb6b71a75,Br3CsGe
