entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1008394-GGA,Cl2,-7.310431480407715,-1.8276078701019287,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1022725-GGA,Sn,-3.7793846130371094,-3.7793846130371094,1
mp-1056308-GGA,Sn,-3.769486904144287,-3.769486904144287,1
mp-1068966-GGA,K,-4.911342620849609,-0.9822685241699218,5
mp-1078640-GGA,K,-7.909040927886963,-0.9886301159858704,8
mp-1080043-GGA,K,-8.123619079589844,-1.0154523849487305,8
mp-1103373-GGA,KSn2,-37.35930252075195,-3.1132752100626626,12
mp-117-GGA,Sn,-7.702559471130371,-3.8512797355651855,2
mp-1179414-GGA,Sn,-30.189592361450195,-3.7736990451812744,8
mp-1180961-GGA,K,-2.029794931411743,-1.0148974657058716,2
mp-1180991-GGA,K,-5.0013837814331055,-1.000276756286621,5
mp-1184755-GGA,K,-2.1149909496307373,-1.0574954748153687,2
mp-1184764-GGA,K,-3.173283338546753,-1.0577611128489177,3
mp-1184804-GGA,K,-8.443361282348633,-1.055420160293579,8
mp-1184808-GGA,K,-8.320993423461914,-1.0401241779327393,8
mp-1184905-GGA,K,-20.905765533447266,-1.0452882766723632,20
mp-1185148-GGA,KCl3,-9.019292831420898,-2.2548232078552246,4
mp-1185151-GGA,KSn3,-26.229610443115234,-3.2787013053894043,8
mp-1185201-GGA,K,-30.260679244995117,-1.0434716981032799,29
mp-1199937-GGA,K,-83.08061218261719,-1.0256865701557678,81
mp-13909-GGA,K4Sn23,-191.88641357421875,-3.5534521032262734,54
mp-22848-GGA,Cl2,-7.317361354827881,-1.8293403387069702,4
mp-23193-GGA,KCl,-6.810478687286377,-3.4052393436431885,2
mp-23289-GGA,KCl,-6.656698226928711,-3.3283491134643555,2
mp-23499-GGA,K2SnCl6,-30.08319664001465,-3.342577404446072,9
mp-23539-GGA,KSn2Cl5,-55.87700653076172,-3.4923129081726074,16
mp-29179-GGA,SnCl2,-83.90874481201172,-3.4961977005004883,24
mp-29866-GGA,SnCl4,-63.76334762573242,-3.188167381286621,20
mp-542374-GGA,KSn,-87.752685546875,-2.7422714233398438,32
mp-55-GGA,Sn,-3.7681188583374023,-3.7681188583374023,1
mp-569152-GGA,SnCl2,-41.95924377441406,-3.4966036478678384,12
mp-570173-GGA,K2SnCl6,-60.15192413330078,-3.3417735629611545,18
mp-570778-GGA,Cl2,-29.167722702026367,-1.822982668876648,16
mp-570900-GGA,K4Sn9,-164.3612518310547,-3.1607933044433594,52
mp-571066-GGA,K6Sn25,-426.1163635253906,-3.4364222864950857,124
mp-571453-GGA,K2SnCl6,-60.26921081542969,-3.3482894897460938,18
mp-573691-GGA,K,-8.342353820800781,-1.0427942276000977,8
mp-58-GGA,K,-1.049010157585144,-1.049010157585144,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.028998374938965,-1.0144991874694824,2
mp-623511-GGA,Sn,-3.7792348861694336,-3.7792348861694336,1
mp-675541-GGA,K2Sn5Cl12,-129.6368408203125,-3.4114958110608553,38
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-84-GGA,Sn,-7.603996276855469,-3.8019981384277344,2
mp-949028-GGA,Sn,-175.14599609375,-3.8075216542119565,46
mp-972981-GGA,K,-2.112534523010254,-1.056267261505127,2
mp-973614-GGA,K3Sn,-7.197757720947266,-1.7994394302368164,4
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
