chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_12ccc858/output.json,Cl3KSn,e_above_hull=0.0528 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_0e72ca42-8f2b-4259-8733-9bd206d3c75c,[],[],0.05,0.052818727493285866,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_60ed665b-b893-463a-a45b-e65670948c23,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0e258a38-94a1-4e7a-a068-1a8628d6e59e,Cl3KSn
Cl3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_dada5bbd/output.json,Cl3KSn,e_above_hull=0.0598 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_a8f11713-f681-4726-8bc1-ab30ea71f769,[],[],0.05,0.05981335639953578,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f5995fbb-2fa5-4940-a174-a317747228f6,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3a6c667b-5010-4770-acdb-42d1aa5f12dc,Cl3KSn
Cl3KSn,2.220221519470215,https://elagente.ca/grafico/ConceptualAtoms_3bec44d2-a6ed-4119-8710-3b6512812f51,-7.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_35e7c6fe-0fef-4740-968b-d15f7860944d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_e116ce56/output.json,,,,,,0.05,0.046760988235473366,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5d752dc4-38d0-4f76-8347-dfa97e1808ca,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3bec44d2-a6ed-4119-8710-3b6512812f51,Cl3KSn
Cl3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_2c6de61c/output.json,Cl3KSn,e_above_hull=0.0597 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8c8718f7-daa8-4d5b-acd4-f62d1e3da448,[],[],0.05,0.0597187519073481,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_76862c0d-9546-4e77-bba6-38607c9e162f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3c788cf9-b365-4822-aec3-15f2b6c7dada,Cl3KSn
Cl3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_57bd248d/output.json,Cl3KSn,e_above_hull=0.0568 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_be6a0127-5ee0-43fe-a0ff-f37a93234199,[],[],0.05,0.056761217117309304,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b2372a1f-8f20-4522-a0dd-93ec8b46bc74,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_42a41ea2-53f4-4623-a21a-b8dd91cb78c8,Cl3KSn
Cl3KSn,2.5685558319091797,https://elagente.ca/grafico/ConceptualAtoms_46789fe3-7a5f-48bc-bb36-8cd4c084887b,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c4028fc4-66bc-48ee-bb88-df9be26ea7f5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_725e032a/output.json,,,,,,0.05,0.04532437324523908,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8346a2bb-b1b7-4036-afd4-2c98e7f71116,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_46789fe3-7a5f-48bc-bb36-8cd4c084887b,Cl3KSn
Cl3KSn,2.4584126472473145,https://elagente.ca/grafico/ConceptualAtoms_50dea2a4-0906-4ac9-9d5e-cf9ff55448f3,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_506f6950-d2c6-45fc-b0d9-83ae3242ce97,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_7fa0e726/output.json,,,,,,0.05,0.0445736408233639,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_faf9fc07-ee1a-4b53-9b2d-14829e288880,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_50dea2a4-0906-4ac9-9d5e-cf9ff55448f3,Cl3KSn
Cl3KSn,2.5560271739959717,https://elagente.ca/grafico/ConceptualAtoms_86ec05c6-87da-44bf-8bbb-6e2b9b224301,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5719dffa-7e12-4d33-a9d7-1307c6b49d4a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_64ab7ab4/output.json,,,,,,0.05,0.0462673664093014,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_990f9f96-cfc8-428e-a8c5-6537505b7c7b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_86ec05c6-87da-44bf-8bbb-6e2b9b224301,Cl3KSn
Cl3KSn,,,,,,,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_60719861/output.json,Cl3KSn,e_above_hull=0.0622 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_5aabf6c7-1806-41c8-979e-496c5334c9f0,[],[],0.05,0.06220631599426252,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0e34d9cd-3cc7-47df-a40d-21017d010bd1,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b951db9e-dc76-478d-bede-a2d84e5742db,Cl3KSn
Cl3KSn,2.28468656539917,https://elagente.ca/grafico/ConceptualAtoms_f6bf2117-5d66-443d-9896-a7fc83e71fb4,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_01739d25-e023-4e2f-b630-8a0040f27186,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_H5DkYxkyW2xQozIoXjJ3esMW/structures/Cl3KSn_688ce523/output.json,,,,,,0.05,0.048357057571410955,,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7ac4c509-8a3b-4012-94c3-4bcfcaf165af,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_65d6bf7b-89e7-4434-a25d-9f92b0e72d2d,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f6bf2117-5d66-443d-9896-a7fc83e71fb4,Cl3KSn
