entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745931625366211,-9.745931625366211,1
mp-10000-GGA,Hf2S,-54.11703872680664,-9.019506454467773,6
mp-1008498-GGA,Ca,-7.074097633361816,-1.768524408340454,4
mp-1009460-GGA,Hf,-29.620868682861328,-9.87362289428711,3
mp-103-GGA,Hf,-19.877967834472656,-9.938983917236328,2
mp-1064227-GGA,Ca,-3.8420426845550537,-1.9210213422775269,2
mp-1078638-GGA,Ca,-15.326410293579102,-1.9158012866973877,8
mp-1183455-GGA,Ca,-1.9172296524047852,-1.9172296524047852,1
mp-1183484-GGA,Ca,-7.694908142089844,-1.923727035522461,4
mp-1190098-GGA,CaHfS3,-132.13534545898438,-6.606767272949218,20
mp-1196831-GGA,S,-329.66162109375,-4.120770263671875,80
mp-1206743-GGA,HfS,-17.03898048400879,-8.519490242004395,2
mp-132-GGA,Ca,-3.8433003425598145,-1.9216501712799072,2
mp-166-GGA,Ca,-1.9186609983444214,-1.9186609983444214,1
mp-1672-GGA,CaS,-10.35037612915039,-5.175188064575195,2
mp-21-GGA,Ca,-1.9214401245117188,-1.9214401245117188,1
mp-45-GGA,Ca,-1.9254180192947388,-1.9254180192947388,1
mp-555760-GGA,S,-36.81663513183594,-4.09073723687066,9
mp-555915-GGA,S,-295.9998779296875,-4.1111094156901045,72
mp-556269-GGA,S,-294.70074462890625,-4.093065897623698,72
mp-557031-GGA,S,-130.63369750976562,-4.082303047180176,32
mp-557376-GGA,S,-81.90594482421875,-4.095297241210938,20
mp-557488-GGA,S,-148.21835327148438,-4.1171764797634545,36
mp-557559-GGA,S,-114.05036163330078,-4.073227201189313,28
mp-557869-GGA,S,-198.41940307617188,-4.133737564086914,48
mp-558014-GGA,S,-99.01795959472656,-4.12574831644694,24
mp-558964-GGA,S,-329.5391540527344,-4.119239425659179,80
mp-561370-GGA,S,-361.2012023925781,-4.1045591180974785,88
mp-561513-GGA,S,-115.2953109741211,-4.117689677647182,28
mp-583072-GGA,S,-426.72076416015625,-4.103084270770733,104
mp-666931-GGA,S,-132.3311767578125,-4.135349273681641,32
mp-7-GGA,S,-24.41084861755371,-4.068474769592285,6
mp-77-GGA,S,-132.34078979492188,-4.135649681091309,32
mp-83-GGA,S,-227.80104064941406,-4.067875725882394,56
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-96-GGA,S,-132.41806030273438,-4.138064384460449,32
mp-985829-GGA,HfS2,-22.9174747467041,-7.639158248901367,3
mp-9922-GGA,HfS3,-54.26490783691406,-6.783113479614258,8
mp-994911-GGA,S,-33.06214141845703,-4.132767677307129,8
