chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_344ad8c0/output.json,CaHfS3,e_above_hull=0.2234 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8e4cb859-5069-49cb-b0ca-3d132938b93c,[],[],0.05,0.22341270446777362,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6666bf15-7643-44bc-9d1f-e1142a12f5db,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_25d81bf1-fa0f-4fa6-9468-f7cf011be9d7,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_79c6d343/output.json,CaHfS3,e_above_hull=0.1664 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_778ee1de-8101-4232-8eeb-ed043a70ec2e,[],[],0.05,0.1664073944091795,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_84c7a60a-a7aa-45ff-9188-fcf4ee586239,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2bbfa4c3-9abf-4933-b110-dfae64139e8b,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_84d60ee3/output.json,CaHfS3,e_above_hull=0.2260 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_0d55bab3-5604-4354-ad08-96ba474c5da2,[],[],0.05,0.226002883911133,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6ceb1466-fe6d-493e-923f-fff77ea6972c,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2e82a718-7947-4a3a-86c5-c9753fbc8b5e,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_78ce2e71/output.json,CaHfS3,e_above_hull=0.1631 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c9710af4-78e9-453b-8da1-da4075c16680,[],[],0.05,0.1630519866943363,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9322501b-0e4b-4bf8-92e7-2fa0508c5a65,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6b8f57aa-6c75-4106-ad39-c4221e8612c7,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_10a1faaa/output.json,CaHfS3,e_above_hull=0.1869 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_14c48a18-48f7-4b4e-9d82-8314e02bfe2f,[],[],0.05,0.18694190979003888,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_65f32729-9d36-4423-b1d1-a429eea99979,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_853bee7e-0e71-4765-8ca8-fe8043b04245,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_e404c37a/output.json,CaHfS3,e_above_hull=0.2325 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_85857583-8aed-46d6-8025-ceb582a2c0d6,[],[],0.05,0.23250389099121094,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1ab47b3d-ac4b-421d-97b3-bc1e16ce669d,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b9bb1cd6-2c09-457f-87ef-cc84494faba8,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_16a038ba/output.json,CaHfS3,e_above_hull=0.1667 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_2d4345f1-6dd3-4823-ae81-5c8b9fd0cc90,[],[],0.05,0.16673927307128888,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bc09f353-dd64-44a3-92e2-f3f8d1f4f9ba,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bf4575ae-3cb8-4dcd-a40e-32b4c00b1e15,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_e7aeb939/output.json,CaHfS3,e_above_hull=0.1667 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_82d111b3-5172-4aa7-b025-498d2f5c4df9,[],[],0.05,0.16667976379394567,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_123cb9a3-c44b-4a6f-be2c-3d5b75584238,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_eb47537b-f489-4f4c-855f-f63a53b68a92,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_0acca4e8/output.json,CaHfS3,e_above_hull=0.1689 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c80690bc-113e-4455-943f-8ef83ae29025,[],[],0.05,0.16889305114746112,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2f0de487-5f42-4b2f-935e-c655e1fe55ac,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f09ffbbd-3201-40a0-be64-f183501872de,CaHfS3
CaHfS3,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_PKfZtCH5vZRj1TITNFk2GRax/structures/CaHfS3_7bff66bb/output.json,CaHfS3,e_above_hull=0.2220 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_a3cb7486-ec46-4c95-882a-096ceec2f515,[],[],0.05,0.22203025817871058,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_296fe7cf-ce0c-4dd5-b035-36011d90d0dd,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_2ccbb7f6-fe3b-47f4-9941-f4e62ccede55,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f23b309d-e064-425a-a5a8-e0a6f2c71d8b,CaHfS3
