entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1016217-GGA,Mg3Zr,-12.61552619934082,-3.153881549835205,4
mp-1016284-GGA,Mg7Zr,-18.611841201782227,-2.3264801502227783,8
mp-1023619-GGA,Mg15Zr,-30.737977981567383,-1.9211236238479614,16
mp-1024087-GGA,Zr63S128,-1352.2371826171875,-7.079775825220877,191
mp-1056351-GGA,Mg,-1.4791561365127563,-1.4791561365127563,1
mp-1056702-GGA,Mg,-1.500701904296875,-1.500701904296875,1
mp-1061732-GGA,MgZr2,-18.388965606689453,-6.129655202229817,3
mp-1077723-GGA,Zr,-51.051517486572266,-8.508586247762045,6
mp-1094122-GGA,Mg,-4.510952472686768,-1.5036508242289226,3
mp-1094466-GGA,Mg3Zr,-25.760705947875977,-3.220088243484497,8
mp-1094467-GGA,Mg3Zr,-12.614753723144531,-3.153688430786133,4
mp-1094471-GGA,MgZr3,-26.564592361450195,-6.641148090362549,4
mp-1094472-GGA,MgZr3,-26.946474075317383,-6.736618518829346,4
mp-1094479-GGA,MgZr,-9.882889747619629,-4.9414448738098145,2
mp-1094743-GGA,MgZr,-9.835220336914062,-4.917610168457031,2
mp-1094768-GGA,MgZr3,-26.980243682861328,-6.745060920715332,4
mp-1094770-GGA,MgZr,-19.710166931152344,-4.927541732788086,4
mp-1094792-GGA,Mg3Zr,-12.972816467285156,-3.243204116821289,4
mp-1094882-GGA,MgZr,-9.868156433105469,-4.934078216552734,2
mp-1094974-GGA,MgZr,-9.849595069885254,-4.924797534942627,2
mp-1096929-GGA,Zr64S127,-1364.02294921875,-7.141481409522251,191
mp-110-GGA,Mg,-1.4800307750701904,-1.4800307750701904,1
mp-1100827-GGA,Zr40S27,-528.27392578125,-7.884685459421642,67
mp-1185578-GGA,Mg149S,-229.09519958496094,-1.5273013305664063,150
mp-1185655-GGA,Mg149Zr,-232.70144653320312,-1.551342976888021,150
mp-1185942-GGA,MgS,-16.93283462524414,-4.233208656311035,4
mp-1185949-GGA,MgS3,-15.374276161193848,-3.843569040298462,4
mp-1185953-GGA,MgS2,-24.493505477905273,-4.082250912984212,6
mp-1185959-GGA,MgS2,-12.265228271484375,-4.088409423828125,3
mp-1186-GGA,ZrS2,-21.408872604370117,-7.136290868123372,3
mp-1193856-GGA,Zr21S8,-238.4533233642578,-8.22252839187096,29
mp-1196831-GGA,S,-329.66119384765625,-4.120764923095703,80
mp-1197374-GGA,Zr2S,-294.39752197265625,-8.177708943684896,36
mp-1215375-GGA,Zr5S8,-94.7059097290039,-7.285069979154146,13
mp-1215419-GGA,Zr3S2,-39.32704162597656,-7.865408325195313,5
mp-1215543-GGA,Zr3S4,-53.19768524169922,-7.599669320242746,7
mp-1247180-GGA,Mg,-13.521349906921387,-1.3521349906921387,10
mp-13032-GGA,MgS,-8.448564529418945,-4.224282264709473,2
mp-131-GGA,Zr,-17.057994842529297,-8.528997421264648,2
mp-1315-GGA,MgS,-8.484500885009766,-4.242250442504883,2
mp-153-GGA,Mg,-3.0129926204681396,-1.5064963102340698,2
mp-1925-GGA,ZrS,-15.370063781738281,-7.685031890869141,2
mp-27191-GGA,Zr9S2,-367.459228515625,-8.351346102627842,44
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-555760-GGA,S,-36.81661605834961,-4.090735117594401,9
mp-555915-GGA,S,-296.0003967285156,-4.1111166212293835,72
mp-556269-GGA,S,-294.70159912109375,-4.093077765570746,72
mp-557031-GGA,S,-130.6338348388672,-4.0823073387146,32
mp-557376-GGA,S,-81.90586853027344,-4.095293426513672,20
mp-557488-GGA,S,-148.21783447265625,-4.1171620686848955,36
mp-557559-GGA,S,-114.05076599121094,-4.073241642543247,28
mp-557869-GGA,S,-198.41958618164062,-4.13374137878418,48
mp-558014-GGA,S,-99.0181884765625,-4.1257578531901045,24
mp-558964-GGA,S,-329.54058837890625,-4.1192573547363285,80
mp-561370-GGA,S,-361.2008972167969,-4.104555650190874,88
mp-561513-GGA,S,-115.29573822021484,-4.117704936436245,28
mp-583072-GGA,S,-426.7191162109375,-4.103068425105168,104
mp-666931-GGA,S,-132.33169555664062,-4.1353654861450195,32
mp-673649-GGA,Zr23S32,-415.40838623046875,-7.5528797496448865,55
mp-684749-GGA,Zr3S4,-426.405029296875,-7.614375523158482,56
mp-7-GGA,S,-24.410802841186523,-4.068467140197754,6
mp-77-GGA,S,-132.3409423828125,-4.135654449462891,32
mp-7859-GGA,ZrS,-31.197616577148438,-7.799404144287109,4
mp-83-GGA,S,-227.8031005859375,-4.067912510463169,56
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-96-GGA,S,-132.41757202148438,-4.138049125671387,32
mp-973364-GGA,Mg,-6.012317180633545,-1.5030792951583862,4
mp-978270-GGA,MgZr3,-53.8187255859375,-6.7273406982421875,8
mp-9921-GGA,ZrS3,-51.56739044189453,-6.445923805236816,8
mp-994911-GGA,S,-33.06196975708008,-4.13274621963501,8
