chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_49a8bcfb/output.json,MgS3Zr,e_above_hull=0.0737 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_9de4828c-cf93-4c1f-a78e-78cdab746888,[],[],0.05,0.07371597290038867,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2b0f606f-ff7e-4d37-a8bf-a15e6e69af33,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_08986b6f-477b-45a1-beb6-9d034dd71b1e,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_aec47c51/output.json,MgS3Zr,e_above_hull=0.0966 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_0c212ffb-33a7-438e-9b29-0075dd1eaff6,[],[],0.05,0.09656715393066229,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0e0d29a8-c356-4250-97d7-16c166e39c6a,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_43865016-18fe-45a3-afd9-0b5acdc63182,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_f4290786/output.json,MgS3Zr,e_above_hull=0.0957 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_f9ea500c-23fd-4707-b944-5c05162f0924,[],[],0.05,0.09567604064941193,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_87a37e0a-aac8-41d8-8b5d-48705afedbf7,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4af8f8e9-fc8a-4c0f-99dc-3612cd475e8e,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_2a9ffa7b/output.json,MgS3Zr,e_above_hull=0.0751 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8b16f87e-5d6f-41b9-a5cc-faa0febe9c20,[],[],0.05,0.0750846862792951,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f01c8aaa-06d5-4f6a-92ca-90e9fec1966e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5f595252-7f4c-4e0c-954c-201991b661dd,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_7e49d96d/output.json,MgS3Zr,e_above_hull=0.2125 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3d5cbe86-076b-4999-8108-5438a3b5dfc1,[],[],0.05,0.2124595642089826,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_11f23f31-8ac5-4877-bbcc-29a295f5b0db,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6e1cf0be-48ec-453e-8769-ef936a769ef7,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_903d5ca3/output.json,MgS3Zr,e_above_hull=0.2176 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_9131184f-2b16-40b3-9ba6-43f06583511e,[],[],0.05,0.21757850646972443,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a5c7f955-6c7a-4d86-8585-8aa325b6abb0,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7501ae10-4845-49dc-af59-9a504bff0731,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_bd95a1d6/output.json,MgS3Zr,e_above_hull=0.2249 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_ee258fbb-e61d-466f-8e01-2584e4104a77,[],[],0.05,0.22486114501952947,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bc040bd7-b0b1-4f3a-a1b0-fad97d1a0f44,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7ee63f4d-f049-44e3-8f37-222ad999cb45,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_a890d170/output.json,MgS3Zr,e_above_hull=0.2901 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_65373ca5-7598-4763-adf1-71499a6a1221,[],[],0.05,0.29014091491699023,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5e956441-2193-4c5b-b773-ce2aea41100e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a0e44e57-0390-49e6-8470-2eef5e018db7,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_bfbacb55/output.json,MgS3Zr,e_above_hull=0.0761 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_afb6f710-9787-471d-a636-35245ad26c80,[],[],0.05,0.07607078552245916,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4155b72f-658d-45dd-9428-d33a6968bbd1,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f1f8e3c9-9aa9-4759-9694-de7145604277,MgS3Zr
MgS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SUpNlYq6Y1an3XyJRV7AxVdU/structures/MgS3Zr_368667a4/output.json,MgS3Zr,e_above_hull=0.0977 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_2cbd660d-2ab1-4130-9a60-23edba911803,[],[],0.05,0.09774703979492028,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_eb06d6ed-e63c-450d-ad0f-cd08d206f728,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ac653cfa-6d5a-41d9-bbfc-89a022313242,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f2315ae6-625c-4e8a-a395-21e5869baa09,MgS3Zr
