chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3RbSn,1.76417875289917,https://elagente.ca/grafico/ConceptualAtoms_3784798c-08b5-4d73-a685-31c6cc52603c,-9.29559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2c3dbf15-9171-436a-8236-f630bc65a521,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_6a39bdc1/output.json,0.05,0.03519096374511843,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ff3c3dbc-d0a9-4ca8-a5df-f3fef6f607b4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3784798c-08b5-4d73-a685-31c6cc52603c,Cl3RbSn
Cl3RbSn,1.791675329208374,https://elagente.ca/grafico/ConceptualAtoms_426ec424-83b6-49e4-bcd0-248813dd6ef6,-9.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_91667b27-c9bd-4839-bdf7-08f09257acc1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_10deba2a/output.json,0.05,0.03494720458984535,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a4e290c3-e1bb-435d-a915-172d590b0c76,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_426ec424-83b6-49e4-bcd0-248813dd6ef6,Cl3RbSn
Cl3RbSn,1.8393055200576782,https://elagente.ca/grafico/ConceptualAtoms_4d7ab09c-c0b3-4fd0-8640-94cbc57b9975,-9.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_56ceae48-a3d9-49e1-b41e-f189a15d5c05,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_fb669cd9/output.json,0.05,0.03421325683593901,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8fb9d061-b502-4082-bea9-05a67fc48406,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4d7ab09c-c0b3-4fd0-8640-94cbc57b9975,Cl3RbSn
Cl3RbSn,1.9800387620925903,https://elagente.ca/grafico/ConceptualAtoms_a35c09db-5cd3-4086-b15e-65bcb4489270,-9.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c407c0c8-0717-4e10-b95e-1c74afdd6fd3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_01cc90ae/output.json,0.05,0.035277557373048385,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_81bc8f2f-e414-440c-939d-f5039be9bc99,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a35c09db-5cd3-4086-b15e-65bcb4489270,Cl3RbSn
Cl3RbSn,1.7385573387145996,https://elagente.ca/grafico/ConceptualAtoms_c10da1bd-4795-4163-afa4-82227b65b7ac,-9.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a390c156-27a7-4334-99f7-e65cce7a667a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_b9d4fa8f/output.json,0.05,0.03596153259277468,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b27b6f6a-3d88-4caa-b5d7-fb44d76aa371,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c10da1bd-4795-4163-afa4-82227b65b7ac,Cl3RbSn
Cl3RbSn,1.9555518627166748,https://elagente.ca/grafico/ConceptualAtoms_d415c5a1-947c-4571-89cd-db8476262d53,-9.445602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4f52f01f-ff66-41ba-b6bc-4b938dd27f04,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_47a50a35/output.json,0.05,0.03682594299316566,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7c14238c-7320-4e53-a81d-ad88a57053db,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d415c5a1-947c-4571-89cd-db8476262d53,Cl3RbSn
Cl3RbSn,1.9933557510375977,https://elagente.ca/grafico/ConceptualAtoms_dfef095b-3a93-48a2-a119-a245abd9bbd8,-9.445602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_afb39b48-37f6-4a69-8a9a-30351181e31e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_da535d58/output.json,0.05,0.034514617919923385,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ca29a5a0-02cf-4d70-bd76-beab0c80abaa,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_dfef095b-3a93-48a2-a119-a245abd9bbd8,Cl3RbSn
Cl3RbSn,1.8564115762710571,https://elagente.ca/grafico/ConceptualAtoms_e990a267-c2a5-459b-b92a-d6ef691fd11a,-9.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9f70d0d9-33d0-40c9-9d43-2d650b10d08e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_e1f1f580/output.json,0.05,0.03445281982421999,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_808a845a-ea2e-4b67-8e3b-4a434b284862,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e990a267-c2a5-459b-b92a-d6ef691fd11a,Cl3RbSn
Cl3RbSn,1.8471187353134155,https://elagente.ca/grafico/ConceptualAtoms_f5bc9921-b0d9-4468-bbf4-f91f1efe6cbf,-9.395599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_271f535b-4dae-4fa8-8d72-3808b76fa60f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_11b46ed4/output.json,0.05,0.03322334289550932,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2911d325-bd34-4cfd-ad24-589e847cfc96,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f5bc9921-b0d9-4468-bbf4-f91f1efe6cbf,Cl3RbSn
Cl3RbSn,1.8682762384414673,https://elagente.ca/grafico/ConceptualAtoms_fc3af122-ec0d-44b7-bdf4-14b3244cbca2,-9.495590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_254fa76c-ce5d-4852-a3a2-0db268d1bf7d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_SZP3Mq3v1mQZbyw2ff57QD4s/structures/Cl3RbSn_3cdbc99a/output.json,0.05,0.032860565185548474,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5c62ce06-81ce-4448-b111-73d293c422b3,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_75a44895-f039-419c-bf14-20162979239b,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fc3af122-ec0d-44b7-bdf4-14b3244cbca2,Cl3RbSn
