chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3GeK,0.6316066980361938,https://elagente.ca/grafico/ConceptualAtoms_042ebf3f-d36b-4637-ae0c-0e1e422d5347,-6.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3fd40840-ad29-48ed-8b25-7ad527cf4ce7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_1e534537/output.json,0.05,0.034672927856447266,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_08eaf156-dad1-4857-adde-a7cfb2896519,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_042ebf3f-d36b-4637-ae0c-0e1e422d5347,Cl3GeK
Cl3GeK,0.5123187303543091,https://elagente.ca/grafico/ConceptualAtoms_39906390-a98d-414a-91c8-13b0cc601368,-6.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_90112df7-0dde-4fe9-878d-ee3e7200ce7b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_6c78e205/output.json,0.05,0.03626441955566584,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_10a0f278-c9a4-4cbc-9a5e-8f8ee49771da,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_39906390-a98d-414a-91c8-13b0cc601368,Cl3GeK
Cl3GeK,0.6168872117996216,https://elagente.ca/grafico/ConceptualAtoms_3d690e48-0f3d-434d-9bf6-f95eb11d136d,-6.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2913945f-6130-4ca7-87ad-69cd6e5ac820,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_dc4d53ab/output.json,0.05,0.03475570678711115,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4a9a0b51-047c-44b4-8232-af44f0faa5c8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_3d690e48-0f3d-434d-9bf6-f95eb11d136d,Cl3GeK
Cl3GeK,0.7395303249359131,https://elagente.ca/grafico/ConceptualAtoms_4499e934-01a2-463b-af8c-f1bc720938b5,-6.895599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_bf196214-9948-4bdc-9751-5b4a69728948,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_261f4d7e/output.json,0.05,0.0324440002441424,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ff034dd6-9523-430a-ad9f-1400299b9e9e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4499e934-01a2-463b-af8c-f1bc720938b5,Cl3GeK
Cl3GeK,0.5886954069137573,https://elagente.ca/grafico/ConceptualAtoms_5e9c6b79-0a04-4e0f-abd9-f9277c8c8218,-6.4456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c465a56b-56c1-4dac-aa4c-fe72a1eb2e43,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_ee6b38ed/output.json,0.05,0.038000869750978605,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_10f36494-b823-405e-ab9e-458647f94c3a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5e9c6b79-0a04-4e0f-abd9-f9277c8c8218,Cl3GeK
Cl3GeK,0.5367093086242676,https://elagente.ca/grafico/ConceptualAtoms_68c1b63f-42e4-49fe-8077-08ce97f4b9da,-6.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3db22a19-84da-41d2-90f1-046917397722,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_f120a7ea/output.json,0.05,0.03341903686523606,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_53e8762c-cdc8-4609-80d0-003cce1f8e24,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_68c1b63f-42e4-49fe-8077-08ce97f4b9da,Cl3GeK
Cl3GeK,0.6498645544052124,https://elagente.ca/grafico/ConceptualAtoms_93da9126-19e3-4708-a2b1-86a69dc9ee26,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ff3c0ed2-5fbb-4447-a757-eb5da55abd99,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_76f78215/output.json,0.05,0.03381423950195517,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bfe2c1bf-fa06-4a36-a861-b106c36a8986,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_93da9126-19e3-4708-a2b1-86a69dc9ee26,Cl3GeK
Cl3GeK,0.5757107734680176,https://elagente.ca/grafico/ConceptualAtoms_ae3f1931-18d3-4612-bb97-b3264dcbb49d,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cb724a31-1471-4d88-a40e-2e341110902b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_db70d375/output.json,0.05,0.034077835083009766,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_cfece831-feb5-4ee7-a915-2c324379e0a1,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ae3f1931-18d3-4612-bb97-b3264dcbb49d,Cl3GeK
Cl3GeK,0.5447559356689453,https://elagente.ca/grafico/ConceptualAtoms_ca94a4f8-3380-4072-895a-2ee3c3b5fb13,-6.4955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_b3093528-895d-4337-a779-77d0798e7ac1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_c2a8df13/output.json,0.05,0.035087966918947,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_43331e88-ce73-4e88-8eba-043b67e931ec,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ca94a4f8-3380-4072-895a-2ee3c3b5fb13,Cl3GeK
Cl3GeK,0.5042763352394104,https://elagente.ca/grafico/ConceptualAtoms_e19106cd-772d-468a-ad8f-a44cccef2619,-6.54559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9f8e9d0f-8d3e-48ad-8f77-7acdf19929b6,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_TxLoNCPdr79r1lcqv7nx1qUJ/structures/Cl3GeK_b0e7065b/output.json,0.05,0.032818222045900125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9e69c861-245c-4cdf-a2e2-4e3a6eb7655a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_67c10b6c-902e-4cd2-8898-d28f59a1d4bc,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e19106cd-772d-468a-ad8f-a44cccef2619,Cl3GeK
