entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1024087-GGA,Zr63S128,-1352.232177734375,-7.079749621645942,191
mp-1058581-GGA,Ba,-3.8012568950653076,-1.9006284475326538,2
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1077723-GGA,Zr,-51.05181121826172,-8.50863520304362,6
mp-1096840-GGA,Ba,-3.803129196166992,-1.901564598083496,2
mp-1096929-GGA,Zr64S127,-1364.0260009765625,-7.141497387311846,191
mp-1100827-GGA,Zr40S27,-528.2752685546875,-7.8847055008162314,67
mp-1186-GGA,ZrS2,-21.407203674316406,-7.135734558105469,3
mp-1193856-GGA,Zr21S8,-238.4500732421875,-8.222416318696121,29
mp-1196831-GGA,S,-329.66107177734375,-4.1207633972167965,80
mp-1197374-GGA,Zr2S,-294.40057373046875,-8.177793714735243,36
mp-1215375-GGA,Zr5S8,-94.70555114746094,-7.285042395958533,13
mp-1215419-GGA,Zr3S2,-39.32854080200195,-7.8657081604003904,5
mp-1215543-GGA,Zr3S4,-53.19757843017578,-7.599654061453683,7
mp-122-GGA,Ba,-1.9034067392349243,-1.9034067392349243,1
mp-131-GGA,Zr,-17.057811737060547,-8.528905868530273,2
mp-14883-GGA,Ba4Zr3S10,-105.75303649902344,-6.220766852883732,17
mp-1500-GGA,BaS,-10.182374954223633,-5.091187477111816,2
mp-1925-GGA,ZrS,-15.370063781738281,-7.685031890869141,2
mp-239-GGA,BaS3,-36.9117431640625,-4.6139678955078125,8
mp-27191-GGA,Zr9S2,-367.4624938964844,-8.35142031582919,44
mp-28978-GGA,Ba2S3,-48.512020111083984,-4.851202011108398,10
mp-3813-GGA,Ba2ZrS4,-42.134971618652344,-6.019281659807477,7
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-540771-GGA,BaZrS3,-127.65010070800781,-6.38250503540039,20
mp-554172-GGA,Ba3Zr2S7,-147.95327758789062,-6.164719899495442,24
mp-555760-GGA,S,-36.81669616699219,-4.0907440185546875,9
mp-555915-GGA,S,-296.00128173828125,-4.111128913031684,72
mp-556269-GGA,S,-294.70068359375,-4.093065049913195,72
mp-556296-GGA,BaS3,-73.58488464355469,-4.599055290222168,16
mp-557031-GGA,S,-130.63388061523438,-4.082308769226074,32
mp-557376-GGA,S,-81.90612030029297,-4.095306015014648,20
mp-557488-GGA,S,-148.21804809570312,-4.1171680026584205,36
mp-557559-GGA,S,-114.05076599121094,-4.073241642543247,28
mp-557869-GGA,S,-198.4193115234375,-4.133735656738281,48
mp-558014-GGA,S,-99.0182876586914,-4.125761985778809,24
mp-558964-GGA,S,-329.5400390625,-4.11925048828125,80
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-561370-GGA,S,-361.2008972167969,-4.104555650190874,88
mp-561513-GGA,S,-115.29500579833984,-4.117678778512137,28
mp-570384-GGA,Ba,-7.150850772857666,-1.7877126932144165,4
mp-583072-GGA,S,-426.7178649902344,-4.103056394136869,104
mp-605790-GGA,Ba,-1.7207937240600586,-1.7207937240600586,1
mp-666931-GGA,S,-132.33206176757812,-4.135376930236816,32
mp-673649-GGA,Zr23S32,-415.4105529785156,-7.55291914506392,55
mp-684-GGA,BaS2,-28.681591033935547,-4.780265172322591,6
mp-684749-GGA,Zr3S4,-426.4031677246094,-7.614342280796596,56
mp-7-GGA,S,-24.410926818847656,-4.068487803141276,6
mp-77-GGA,S,-132.34085083007812,-4.135651588439941,32
mp-7859-GGA,ZrS,-31.197933197021484,-7.799483299255371,4
mp-83-GGA,S,-227.80418395996094,-4.067931856427874,56
mp-8570-GGA,Ba3Zr2S7,-296.34527587890625,-6.17385991414388,48
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-9179-GGA,Ba3Zr2S7,-73.99453735351562,-6.166211446126302,12
mp-96-GGA,S,-132.4185028076172,-4.138078212738037,32
mp-9921-GGA,ZrS3,-51.56559371948242,-6.445699214935303,8
mp-994911-GGA,S,-33.06182098388672,-4.13272762298584,8
