chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaS3Zr,0.5801708698272705,https://elagente.ca/grafico/ConceptualAtoms_000b4e9b-f6ff-4459-be8d-88836bb96076,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_18a2a88c-661b-4b24-a83b-cb6712e0d911,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_cd27e537/output.json,0.05,0.03939323425292951,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_855bf1d2-11dd-4819-8656-614a07063ec9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_000b4e9b-f6ff-4459-be8d-88836bb96076,BaS3Zr
BaS3Zr,0.5872507095336914,https://elagente.ca/grafico/ConceptualAtoms_02df3bf3-c978-4d49-a2c0-ae88402684f8,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_8d6106f5-dbdf-4771-b368-eef92ab54175,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_ba939882/output.json,0.05,0.03899230957031197,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e73fa481-608d-478c-84c8-d4e44f487d7d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_02df3bf3-c978-4d49-a2c0-ae88402684f8,BaS3Zr
BaS3Zr,0.6046732664108276,https://elagente.ca/grafico/ConceptualAtoms_1641b79c-5949-4b86-818e-b3ab2b95106a,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4c28531d-6f90-4317-b406-ed11dee1fea3,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_baeba27c/output.json,0.05,0.039480972290038885,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9569e837-0522-477d-99ec-369ba97d1042,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1641b79c-5949-4b86-818e-b3ab2b95106a,BaS3Zr
BaS3Zr,0.5440686941146851,https://elagente.ca/grafico/ConceptualAtoms_16c0943f-7a39-4f85-b572-ba2d4b9112a6,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_9256d6f9-b9b9-4e5e-b0af-125f7e3feddb,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_71e43e50/output.json,0.05,0.03930931091308576,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1e0a3f7d-74c2-4ce5-a086-e9bfe09adf81,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_16c0943f-7a39-4f85-b572-ba2d4b9112a6,BaS3Zr
BaS3Zr,0.5910452604293823,https://elagente.ca/grafico/ConceptualAtoms_36f340bd-a413-4aca-977d-ea0a28b85014,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1a92ead2-6cbf-450e-b0fa-5f1d3605e0fc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_66fcc624/output.json,0.05,0.03794937133789045,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_dfb96609-8e49-494d-a7cd-2e3b05fb5833,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_36f340bd-a413-4aca-977d-ea0a28b85014,BaS3Zr
BaS3Zr,0.5924060344696045,https://elagente.ca/grafico/ConceptualAtoms_742fd251-7ec1-48e0-a383-dc0ebf852a4c,-8.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d3ab5b21-cb77-41fc-b4b3-9d91797817f2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_e0908448/output.json,0.05,0.04068031311035103,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_24f30094-96d4-4573-ad38-01c48fa6b45e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_742fd251-7ec1-48e0-a383-dc0ebf852a4c,BaS3Zr
BaS3Zr,0.5762643218040466,https://elagente.ca/grafico/ConceptualAtoms_91ac68a2-4f83-418a-9fb5-f04b5639b285,-8.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1e322faf-9e66-48f8-bb66-6a9fd615d066,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_1070b748/output.json,0.05,0.0423667907714842,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bc8487f0-b8a2-4e19-990e-e0d75e544918,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_91ac68a2-4f83-418a-9fb5-f04b5639b285,BaS3Zr
BaS3Zr,0.6017465591430664,https://elagente.ca/grafico/ConceptualAtoms_b0396fd0-c4f6-4797-a0ed-3adf81386d0b,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a0930fa6-3f76-437f-a847-29afda0bed2c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_87cf52bc/output.json,0.05,0.038728332519530895,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bfd2e9b2-e79c-4116-abe8-90d323dfc6fb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b0396fd0-c4f6-4797-a0ed-3adf81386d0b,BaS3Zr
BaS3Zr,0.5826490521430969,https://elagente.ca/grafico/ConceptualAtoms_ddd44940-57f6-422f-9ae8-966933e24b56,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_adf6d8ea-2cb8-43a3-aaf9-1c745292094c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_32320bfd/output.json,0.05,0.038112640380859375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ab83fcd6-0b65-44cc-8b9c-3a54504bbe2f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ddd44940-57f6-422f-9ae8-966933e24b56,BaS3Zr
BaS3Zr,0.5722416639328003,https://elagente.ca/grafico/ConceptualAtoms_e06be7a8-793d-4ad3-bbcc-87eed615458d,-8.195602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_706e49e5-f00b-4448-bc64-7a0d294bf927,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_YaXXm1g6ejyUHEIRhHg0ZiZn/structures/BaS3Zr_5da6ce27/output.json,0.05,0.041248321533203125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7a432b8b-aa7c-4373-b043-5a4046e63b82,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_fc0574f2-7425-4a39-892c-0780277735f7,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e06be7a8-793d-4ad3-bbcc-87eed615458d,BaS3Zr
