entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1008498-GGA,Ca,-7.074049472808838,-1.7685123682022095,4
mp-1024087-GGA,Zr63S128,-1352.23681640625,-7.079773907886126,191
mp-1064227-GGA,Ca,-3.842329740524292,-1.921164870262146,2
mp-1077723-GGA,Zr,-51.05201721191406,-8.50866953531901,6
mp-1078638-GGA,Ca,-15.326160430908203,-1.9157700538635254,8
mp-1096929-GGA,Zr64S127,-1364.030517578125,-7.141521034440445,191
mp-1100827-GGA,Zr40S27,-528.2764892578125,-7.884723720265858,67
mp-1183455-GGA,Ca,-1.9172296524047852,-1.9172296524047852,1
mp-1183484-GGA,Ca,-7.694908142089844,-1.923727035522461,4
mp-1186-GGA,ZrS2,-21.407548904418945,-7.135849634806315,3
mp-1193856-GGA,Zr21S8,-238.4442138671875,-8.222214271282327,29
mp-1196831-GGA,S,-329.66119384765625,-4.120764923095703,80
mp-1197374-GGA,Zr2S,-294.40234375,-8.177842881944445,36
mp-1215375-GGA,Zr5S8,-94.7066879272461,-7.285129840557392,13
mp-1215419-GGA,Zr3S2,-39.32737731933594,-7.865475463867187,5
mp-1215543-GGA,Zr3S4,-53.197059631347656,-7.599579947335379,7
mp-131-GGA,Zr,-17.057987213134766,-8.528993606567383,2
mp-132-GGA,Ca,-3.8433003425598145,-1.9216501712799072,2
mp-166-GGA,Ca,-1.9186608791351318,-1.9186608791351318,1
mp-1672-GGA,CaS,-10.35037612915039,-5.175188064575195,2
mp-1925-GGA,ZrS,-15.370063781738281,-7.685031890869141,2
mp-21-GGA,Ca,-1.9214398860931396,-1.9214398860931396,1
mp-27191-GGA,Zr9S2,-367.46112060546875,-8.351389104669744,44
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-45-GGA,Ca,-1.9254177808761597,-1.9254177808761597,1
mp-555760-GGA,S,-36.81673812866211,-4.090748680962457,9
mp-555915-GGA,S,-296.00006103515625,-4.111111958821614,72
mp-556269-GGA,S,-294.70159912109375,-4.093077765570746,72
mp-557031-GGA,S,-130.6338653564453,-4.082308292388916,32
mp-557376-GGA,S,-81.90579223632812,-4.095289611816407,20
mp-557488-GGA,S,-148.21905517578125,-4.117195977105035,36
mp-557559-GGA,S,-114.04945373535156,-4.0731947762625555,28
mp-557869-GGA,S,-198.41966247558594,-4.133742968241374,48
mp-558014-GGA,S,-99.01823425292969,-4.125759760538737,24
mp-558964-GGA,S,-329.5393981933594,-4.119242477416992,80
mp-561370-GGA,S,-361.2015380859375,-4.104562932794744,88
mp-561513-GGA,S,-115.29229736328125,-4.117582048688616,28
mp-583072-GGA,S,-426.7181091308594,-4.1030587416428785,104
mp-666931-GGA,S,-132.32986450195312,-4.135308265686035,32
mp-673649-GGA,Zr23S32,-415.4086608886719,-7.552884743430398,55
mp-684749-GGA,Zr3S4,-426.4066162109375,-7.614403860909598,56
mp-7-GGA,S,-24.41077423095703,-4.068462371826172,6
mp-77-GGA,S,-132.34120178222656,-4.13566255569458,32
mp-7781-GGA,CaZrS3,-126.25385284423828,-6.312692642211914,20
mp-7859-GGA,ZrS,-31.197998046875,-7.79949951171875,4
mp-83-GGA,S,-227.80335998535156,-4.067917142595563,56
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-96-GGA,S,-132.41818237304688,-4.138068199157715,32
mp-9921-GGA,ZrS3,-51.56550979614258,-6.445688724517822,8
mp-994911-GGA,S,-33.06183624267578,-4.132729530334473,8
