chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_8617ee42/output.json,CaS3Zr,e_above_hull=0.1841 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_440e1d4f-8c75-4afa-b290-90c9107938a9,[],[],0.05,0.18414192199706836,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bcf4ef55-53f9-40fe-98c7-5e272b65ade0,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_07f90514-57fa-494b-9a24-a8d2b9744ffb,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_be157144/output.json,CaS3Zr,e_above_hull=0.1443 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_9dfd7092-b2ac-44c8-9430-abcc06d48a37,[],[],0.05,0.14434127807616992,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_be2089a3-f586-47be-98e0-dec7288aac41,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_571308c5-1b36-4de6-81f9-2d97cf84a6a7,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_3f2376c4/output.json,CaS3Zr,e_above_hull=0.2217 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_5c14da82-6be1-49ad-ab02-bc1250702e67,[],[],0.05,0.2217014312744121,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3eb0eb0b-ea81-4956-b50e-91dced6c9898,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_638fb814-f9d5-46c2-bff2-f17d22fcdd4b,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_952eca1b/output.json,CaS3Zr,e_above_hull=0.1482 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3fd765b1-1a30-4289-8ebc-bda7a788814a,[],[],0.05,0.14821548461913814,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9fd0014d-02b8-49b3-b499-cde9569b4a7f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6402aa67-804d-43db-8dc0-b1b5880b30d7,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_ca323723/output.json,CaS3Zr,e_above_hull=0.2292 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_07bf15e2-34e3-41dc-a8c9-5978e756aea1,[],[],0.05,0.22920494079589648,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9ca1b1f0-517f-4539-9e90-46b05b201266,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7009d560-6690-46dc-91f8-027634ff403e,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_1f0c960f/output.json,CaS3Zr,e_above_hull=0.2087 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_02b12349-68a0-4208-9219-ab7c3afa6a15,[],[],0.05,0.2086551666259746,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6b54b1db-1803-4f26-853a-5dcc6b88b0d3,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7c0c99cb-bdfc-449d-893a-8eff2aa71bbe,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_05c1fc53/output.json,CaS3Zr,e_above_hull=0.1484 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_218494c6-2529-4364-a3f3-0ae0fec7fe79,[],[],0.05,0.14837646484374822,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9aab8649-a425-472c-b444-59e425753fe5,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8280b9c1-e0b8-488e-a8f0-dcf72c198271,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_1027ed80/output.json,CaS3Zr,e_above_hull=0.2329 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3eafedff-4a80-4536-874d-0deb3a363a50,[],[],0.05,0.23290863037109144,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c16dbdf7-ed02-40e9-a29e-a623778f21e1,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_980a3dcc-f1a8-4827-819f-2b178642d2d8,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_f06d9cf3/output.json,CaS3Zr,e_above_hull=0.1726 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_e1718230-40f5-4a47-8e13-8c5d23da203a,[],[],0.05,0.1725528717040996,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_045c4121-e157-477f-b3ac-0656d0176f6e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a0d79757-ddd1-4fdc-870b-027d6c8b8103,CaS3Zr
CaS3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_d471Q8xSTAqj1ZyAq7uPKO5g/structures/CaS3Zr_9bf8d6db/output.json,CaS3Zr,e_above_hull=0.2049 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_df3f5ef9-b679-4aff-9f0e-38536dfe02c3,[],[],0.05,0.20486869812011488,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b98fe97d-e3f3-49f8-a7b7-5622b09e903f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_cda69ff7-aa15-4912-a8b3-d323a440d9a8,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f580f8ef-1804-4b97-ba08-c9193d5f031a,CaS3Zr
