entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1008498-GGA,Ca,-7.074586391448975,-1.7686465978622437,4
mp-1009757-GGA,Se,-6.713305950164795,-3.3566529750823975,2
mp-1064227-GGA,Ca,-3.8422369956970215,-1.9211184978485107,2
mp-1077723-GGA,Zr,-51.052467346191406,-8.508744557698568,6
mp-1078638-GGA,Ca,-15.325456619262695,-1.915682077407837,8
mp-1183040-GGA,ZrSe,-14.723882675170898,-7.361941337585449,2
mp-1183455-GGA,Ca,-1.9172296524047852,-1.9172296524047852,1
mp-1183484-GGA,Ca,-7.694908142089844,-1.923727035522461,4
mp-1215359-GGA,Zr5Se8,-87.26350402832031,-6.712577232947717,13
mp-1215400-GGA,Zr3Se4,-48.56406784057617,-6.9377239772251675,7
mp-1215598-GGA,Zr2Se3,-68.63406372070312,-6.863406372070313,10
mp-1247808-GGA,Se,-13.250375747680664,-3.312593936920166,4
mp-131-GGA,Zr,-17.057804107666016,-8.528902053833008,2
mp-132-GGA,Ca,-3.8433003425598145,-1.9216501712799072,2
mp-14-GGA,Se,-10.4201021194458,-3.4733673731486,3
mp-1415-GGA,CaSe,-9.46420955657959,-4.732104778289795,2
mp-147-GGA,Se,-20.83466339111328,-3.4724438985188804,6
mp-166-GGA,Ca,-1.9186609983444214,-1.9186609983444214,1
mp-1683-GGA,ZrSe3,-46.540321350097656,-5.817540168762207,8
mp-2076-GGA,ZrSe2,-19.573392868041992,-6.524464289347331,3
mp-21-GGA,Ca,-1.9214398860931396,-1.9214398860931396,1
mp-22642-GGA,Zr2Se,-280.4077453613281,-7.7891040378146705,36
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-45-GGA,Ca,-1.9254180192947388,-1.9254180192947388,1
mp-542461-GGA,Se,-111.69444274902344,-3.4904513359069824,32
mp-542605-GGA,Se,-111.68057250976562,-3.490017890930176,32
mp-570481-GGA,Se,-223.74058532714844,-3.4959466457366943,64
mp-7755-GGA,Se,-3.311009168624878,-3.311009168624878,1
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
