chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_4a69b019/output.json,CaSe3Zr,e_above_hull=0.2201 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_811bcc3a-981d-40e5-b7c6-1fa1c03e50ae,[],[],0.05,0.2201383590698267,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e318d2f4-0fd2-4dd8-b6d1-e03d2b132826,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2aa2e604-58bb-49c8-9f4a-90551f5aff3f,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_11269564/output.json,CaSe3Zr,e_above_hull=0.1877 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_fa0696b7-d169-4b16-8160-ebb187006e91,[],[],0.05,0.18771800994873278,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d15f2c1f-aa0b-4db6-87b7-8dc5a921cc47,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_39515f99-1e6b-4644-b4cb-156fa06e1378,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_038ebc7d/output.json,CaSe3Zr,e_above_hull=0.1047 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_d8279240-ace2-4efa-be2b-513f80d374e5,[],[],0.05,0.10467014312744372,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_510a68eb-351a-44dc-b4f8-39cab4593c8c,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_61951f3f-4e83-4efe-aeab-eaf3360ce274,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_9a6f6b0c/output.json,CaSe3Zr,e_above_hull=0.1866 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7c43caf9-3e01-4a8a-909a-10c9c7963cb2,[],[],0.05,0.1866029739379904,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2cd5c5e4-83b6-4bce-93c8-f783f5c41941,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7c84e6c3-589a-4212-8783-23c680552113,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_75286135/output.json,CaSe3Zr,e_above_hull=0.1036 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_2f28eedf-81ce-477f-82c0-4fecfcace4de,[],[],0.05,0.10356922149658399,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ac00ca65-d78a-42ed-95d2-8c60404e4dd7,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7ee4cbad-7a67-43ba-b185-0734efdc47a4,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_afde9f68/output.json,CaSe3Zr,e_above_hull=0.1741 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_fb5d863b-7ef7-49df-a245-965e3ac4898e,[],[],0.05,0.17406482696533399,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5c478301-9201-49ad-9dd1-6b3892bcef6a,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b3767884-9195-4762-ace3-103c04556a84,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_71c28f67/output.json,CaSe3Zr,e_above_hull=0.1054 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_659e293f-15da-4a42-937c-c33e62c84854,[],[],0.05,0.1053937911987326,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_447528d8-488c-41f8-bd32-ba0f53107666,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bc95a295-516b-464b-be14-4f4e284fecd0,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_9b2d8bf1/output.json,CaSe3Zr,e_above_hull=0.1859 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_e29f9357-f926-4bb9-a062-bf5b15438e9e,[],[],0.05,0.18591365814209215,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8437399f-cc12-4277-bf86-f193fb0f2475,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cd91e1c3-46f4-4c70-be08-626ac93c7dcb,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_29d48dce/output.json,CaSe3Zr,e_above_hull=0.1883 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_9c26d0ac-ed16-47d2-8dfe-1fdcc2408ecc,[],[],0.05,0.1882898330688496,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a871f13d-c21e-4039-b04e-6c3031b8b90b,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e0776cff-8ccd-47f4-b7b4-90215dc2789a,CaSe3Zr
CaSe3Zr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_gi6FZtncTxVhytTPTfxafd90/structures/CaSe3Zr_0f4db8de/output.json,CaSe3Zr,e_above_hull=0.1034 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_bc45f552-4d85-4b2e-abe4-ce9997a0f4cf,[],[],0.05,0.10336856842041264,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9a7712da-9ad8-4075-896e-a1024cf0cd1f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_5101b057-519a-45b0-9729-5cdd5760e713,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f0c4a8d4-6487-4d6a-9026-ac6d3ee28642,CaSe3Zr
