entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057580947875977,-4.514395236968994,4
mp-1008394-GGA,Cl2,-7.310431957244873,-1.8276079893112183,4
mp-1018045-GGA,Rb,-3.7893929481506348,-0.9473482370376587,4
mp-1063817-GGA,Rb,-3.7364659309387207,-0.9341164827346802,4
mp-1080106-GGA,Ge,-34.99962615966797,-4.374953269958496,8
mp-1091415-GGA,Ge,-36.112464904785156,-4.5140581130981445,8
mp-1120729-GGA,RbGeCl3,-70.14520263671875,-3.5072601318359373,20
mp-1179656-GGA,Rb,-7.618683338165283,-0.9523354172706604,8
mp-1179802-GGA,Rb,-7.560253143310547,-0.9450316429138184,8
mp-1186853-GGA,Rb,-19.013668060302734,-0.9506834030151368,20
mp-1186899-GGA,Rb,-27.411117553710938,-0.9452109501279634,29
mp-1198022-GGA,Ge,-151.87704467773438,-4.466971902286305,34
mp-1199056-GGA,RbGe,-93.35676574707031,-2.9173989295959473,32
mp-1209551-GGA,Rb4Ge23,-219.36297607421875,-4.062277334707755,54
mp-12628-GGA,Rb,-0.9596434831619263,-0.9596434831619263,1
mp-128-GGA,Ge,-34.81608200073242,-4.352010250091553,8
mp-137-GGA,Ge,-52.05684280395508,-4.338070233662923,12
mp-1888-GGA,RbGe,-187.76727294921875,-2.933863639831543,64
mp-22848-GGA,Cl2,-7.317252159118652,-1.829313039779663,4
mp-23295-GGA,RbCl,-6.665188789367676,-3.332594394683838,2
mp-23299-GGA,RbCl,-6.54088020324707,-3.270440101623535,2
mp-27369-GGA,RbGeCl3,-35.195220947265625,-3.5195220947265624,10
mp-29688-GGA,Ge3Cl8,-150.4601593017578,-3.41954907503995,44
mp-30086-GGA,GeCl4,-66.17269897460938,-3.308634948730469,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-569688-GGA,Rb,-24.613359451293945,-0.9466676712036133,26
mp-570778-GGA,Cl2,-29.16766929626465,-1.8229793310165405,16
mp-604321-GGA,Rb,-3.8397161960601807,-0.9599290490150452,4
mp-639736-GGA,Rb,-1.8998748064041138,-0.9499374032020569,2
mp-639755-GGA,Rb,-0.9540328979492188,-0.9540328979492188,1
mp-640416-GGA,Rb,-7.562854290008545,-0.9453567862510681,8
mp-656615-GGA,Rb,-7.6305060386657715,-0.9538132548332214,8
mp-70-GGA,Rb,-0.9517490863800049,-0.9517490863800049,1
mp-862769-GGA,RbGe3,-29.05754280090332,-3.632192850112915,8
mp-867126-GGA,Rb,-2.8793702125549316,-0.9597900708516439,3
mp-974620-GGA,Rb,-7.522890090942383,-0.9403612613677979,8
mp-975129-GGA,Rb,-1.9187657833099365,-0.9593828916549683,2
mp-975204-GGA,Rb,-1.9199074506759644,-0.9599537253379822,2
mp-975519-GGA,Rb,-0.9599872827529907,-0.9599872827529907,1
