chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3GeRb,2.2164719104766846,https://elagente.ca/grafico/ConceptualAtoms_7cb7438f-04ce-4820-9313-c5321f6a6221,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_94c11b80-33d2-41cd-8395-1585012ba27e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_98e6802b/output.json,0.05,0.030899047851564276,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6c356168-1d73-4ee2-acdf-29f1dd27c5bc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7cb7438f-04ce-4820-9313-c5321f6a6221,Cl3GeRb
Cl3GeRb,2.226036548614502,https://elagente.ca/grafico/ConceptualAtoms_9c06bc0a-5e45-45e6-aab9-3c567c0faff1,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_dd663979-720d-4ca7-af6a-6bf028df1ab9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_a33caadc/output.json,0.05,0.031050872802735885,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c9e650ee-48e7-4b99-a699-e72271386cae,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9c06bc0a-5e45-45e6-aab9-3c567c0faff1,Cl3GeRb
Cl3GeRb,2.0075037479400635,https://elagente.ca/grafico/ConceptualAtoms_a3cda466-9f8c-415a-8ccd-90eb01c7605d,-6.5955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_dcd126e7-6e92-476e-bf08-dcccb6023a18,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_4adc7e85/output.json,0.05,0.03181686401367356,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e61cdbbe-ec7e-4223-84bc-dbbecf48e9af,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a3cda466-9f8c-415a-8ccd-90eb01c7605d,Cl3GeRb
Cl3GeRb,1.3971308469772339,https://elagente.ca/grafico/ConceptualAtoms_a9a585c9-4977-4ecd-a8b1-b740d80fa4b0,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4146bb60-bba8-4847-b150-2d64daaa34bb,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_736a8b10/output.json,0.05,0.036138534545900214,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5f833bc8-56b9-4d1d-8de1-d29f834b732b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a9a585c9-4977-4ecd-a8b1-b740d80fa4b0,Cl3GeRb
Cl3GeRb,2.079573154449463,https://elagente.ca/grafico/ConceptualAtoms_adb7c151-f0a9-49c8-8a0d-2c9054beb2e6,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2857f635-5fe4-48b3-8802-6591ae9f23fd,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_4be282a5/output.json,0.05,0.03133354187011905,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9d913039-a461-4c4e-8780-080473afb1db,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_adb7c151-f0a9-49c8-8a0d-2c9054beb2e6,Cl3GeRb
Cl3GeRb,2.179832935333252,https://elagente.ca/grafico/ConceptualAtoms_b640785b-1702-4600-9482-fa927e592b7c,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6f3fbb71-46cf-4165-9bd8-d28b4856a223,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_eb04135b/output.json,0.05,0.03143844604492374,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d5ae91a5-18a2-4d95-b3d5-abf6736f773b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b640785b-1702-4600-9482-fa927e592b7c,Cl3GeRb
Cl3GeRb,2.2050766944885254,https://elagente.ca/grafico/ConceptualAtoms_bab6a9d1-5d9f-4e57-b995-87e64af4a0d6,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_53f9ecbd-ce50-401a-9ce3-650aa68f5fe7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_eb93f02f/output.json,0.05,0.0317089080810562,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a8bd7333-ed98-4567-a727-451120f395eb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bab6a9d1-5d9f-4e57-b995-87e64af4a0d6,Cl3GeRb
Cl3GeRb,2.059541702270508,https://elagente.ca/grafico/ConceptualAtoms_c9146245-b5b3-49fc-b479-277ca61f9886,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f38ae6c0-e5ee-4306-a90b-a7d5281aa4a0,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_42653356/output.json,0.05,0.031258392333985974,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_887d0b63-720b-404a-9ee2-b3505c056ab8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c9146245-b5b3-49fc-b479-277ca61f9886,Cl3GeRb
Cl3GeRb,2.5277774333953857,https://elagente.ca/grafico/ConceptualAtoms_e3f809ca-8adf-401d-a93d-6b94d7906a04,-6.6956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_13741615-dfca-41c5-8289-36b6ed421285,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_66feee6a/output.json,0.05,0.032732772827150036,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bdb13e6f-4ead-4435-b10b-1b8186dfe50b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e3f809ca-8adf-401d-a93d-6b94d7906a04,Cl3GeRb
Cl3GeRb,2.307267189025879,https://elagente.ca/grafico/ConceptualAtoms_fe2bb37e-8071-42a4-98ca-3bbc14ac408b,-6.645599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fee9ac80-262d-4a18-8635-13c4519110e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_jj9hHTGxSUAgmhaPXPT2BC4o/structures/Cl3GeRb_d19ba443/output.json,0.05,0.030081176757814188,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_eef81ad3-e839-48fb-b034-48f3e9067e8c,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_577c1f48-b8e6-4d80-817c-af38da8f8404,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fe2bb37e-8071-42a4-98ca-3bbc14ac408b,Cl3GeRb
