entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9698927402496338,-0.9698927402496338,1
mp-1007760-GGA,Ge,-18.05759048461914,-4.514397621154785,4
mp-1007976-GGA,Cs,-3.8768160343170166,-0.9692040085792542,4
mp-1008394-GGA,Cl2,-7.310510635375977,-1.8276276588439941,4
mp-1012110-GGA,Cs,-3.869572401046753,-0.9673931002616882,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1080106-GGA,Ge,-34.999755859375,-4.374969482421875,8
mp-1091415-GGA,Ge,-36.11220169067383,-4.5140252113342285,8
mp-1096915-GGA,Cs,-0.9699729681015015,-0.9699729681015015,1
mp-1181521-GGA,CsGe,-11.172542572021484,-2.793135643005371,4
mp-1182809-GGA,Cs,-3.8806581497192383,-0.9701645374298096,4
mp-11832-GGA,Cs,-1.9375039339065552,-0.9687519669532776,2
mp-1183694-GGA,Cs,-0.968740701675415,-0.968740701675415,1
mp-1183897-GGA,Cs,-19.19512939453125,-0.9597564697265625,20
mp-1184151-GGA,Cs,-27.779741287231445,-0.9579221133528084,29
mp-1198022-GGA,Ge,-151.87701416015625,-4.466971004710478,34
mp-1273-GGA,CsGe,-187.32301330566406,-2.926922082901001,64
mp-128-GGA,Ge,-34.815940856933594,-4.351992607116699,8
mp-137-GGA,Ge,-52.05701446533203,-4.338084538777669,12
mp-22848-GGA,Cl2,-7.31736421585083,-1.8293410539627075,4
mp-22865-GGA,CsCl,-6.539666175842285,-3.2698330879211426,2
mp-22988-GGA,CsGeCl3,-17.639612197875977,-3.527922439575195,5
mp-27882-GGA,Cs2GeCl6,-30.023439407348633,-3.3359377119276257,9
mp-29688-GGA,Ge3Cl8,-150.4602813720703,-3.4195518493652344,44
mp-3-GGA,Cs,-1.9380115270614624,-0.9690057635307312,2
mp-30086-GGA,GeCl4,-66.1727523803711,-3.3086376190185547,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-570778-GGA,Cl2,-29.167675018310547,-1.8229796886444092,16
mp-573579-GGA,Cs,-7.7490620613098145,-0.9686327576637268,8
mp-573697-GGA,CsCl,-6.63954496383667,-3.319772481918335,2
mp-639727-GGA,Cs,-3.878225803375244,-0.969556450843811,4
mp-672241-GGA,Cs,-7.735376834869385,-0.9669221043586731,8
mp-866501-GGA,CsGe,-93.07669830322266,-2.908646821975708,32
mp-949029-GGA,Cs,-7.64766788482666,-0.9559584856033325,8
