chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Cl3CsGe,2.0982847213745117,https://elagente.ca/grafico/ConceptualAtoms_41665b53-a3ea-4719-94ea-9f9f041ec5a1,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4613f66d-b53e-40fb-80d5-924ce407cc4b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_bb814f50/output.json,0.05,0.001835250854493875,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d253e423-3b73-429d-9629-f9344cd610c7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_41665b53-a3ea-4719-94ea-9f9f041ec5a1,Cl3CsGe
Cl3CsGe,2.0765910148620605,https://elagente.ca/grafico/ConceptualAtoms_41b6d447-f41a-47a0-a0a2-38038b6a5278,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_05111ec9-9d8c-4f8a-9484-72eac0cf6cf7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_a6e78f1b/output.json,0.05,0.0017368316650405724,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0b3f371d-1c50-4c0d-b828-f5ec06db2dac,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_41b6d447-f41a-47a0-a0a2-38038b6a5278,Cl3CsGe
Cl3CsGe,2.480588436126709,https://elagente.ca/grafico/ConceptualAtoms_6f18a848-bfb2-4eb4-9c61-3cfdac23786c,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_11ff5134-1d30-49ef-9137-0cef69e73cb8,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_2b4540d2/output.json,0.05,3.9672851563921085e-05,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6289f7cf-b8bf-4232-bf00-b2992469c593,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6f18a848-bfb2-4eb4-9c61-3cfdac23786c,Cl3CsGe
Cl3CsGe,2.412893295288086,https://elagente.ca/grafico/ConceptualAtoms_98614d43-2785-4457-b1c6-43b38db36260,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_82148cec-d294-4a7a-b6d8-eb78ea7624ea,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_c12c69e2/output.json,0.05,0.0006160736084002139,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e84bf0d6-a435-41b2-842f-933bbe1c58f0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_98614d43-2785-4457-b1c6-43b38db36260,Cl3CsGe
Cl3CsGe,2.409787893295288,https://elagente.ca/grafico/ConceptualAtoms_9be156c4-c791-4e44-bf82-9913164be24e,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a0c770f6-fefb-48e5-89c7-30c382438a2f,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_b00b823d/output.json,0.05,0.0006744384765640099,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e1c3f117-780b-4c09-8a8c-b9d67e369adb,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9be156c4-c791-4e44-bf82-9913164be24e,Cl3CsGe
Cl3CsGe,2.0968308448791504,https://elagente.ca/grafico/ConceptualAtoms_a5329648-dca8-47e8-923c-6fdccce63fc2,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_058304ec-fee5-4bcb-ae2e-bafee75001e2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_80111dfc/output.json,0.05,0.0017963409423842336,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1db44f76-cf94-486d-abfb-e1ac2b353cc6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a5329648-dca8-47e8-923c-6fdccce63fc2,Cl3CsGe
Cl3CsGe,2.4489245414733887,https://elagente.ca/grafico/ConceptualAtoms_a7b60b1b-b3f6-4e7a-93a4-1e9718d40992,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_1eb79c26-d0f0-4549-8150-37347dd4c818,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_1d421a96/output.json,0.05,0.00028266906738450004,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a8572afe-737a-4d7c-a2a7-8f062d8e6cd6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a7b60b1b-b3f6-4e7a-93a4-1e9718d40992,Cl3CsGe
Cl3CsGe,2.3736257553100586,https://elagente.ca/grafico/ConceptualAtoms_aceaec49-0fc8-471f-a7d1-6c29a46ec89a,-6.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3b022d7e-9f22-4ac7-aaa2-4dc432e5570d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_135ac278/output.json,0.05,0.0005958557128922237,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_262be607-caa2-416c-9c02-86b99f32233e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_aceaec49-0fc8-471f-a7d1-6c29a46ec89a,Cl3CsGe
Cl3CsGe,2.401843547821045,https://elagente.ca/grafico/ConceptualAtoms_ad4bb8a1-2a75-4539-93b4-481ca03cc884,-6.7455902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f1c09875-0238-4588-acfa-1d38e698ded9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_2956e46f/output.json,0.05,0.0003368377685561974,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_21521744-dc55-4e3f-a75d-cceff8fcc626,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ad4bb8a1-2a75-4539-93b4-481ca03cc884,Cl3CsGe
Cl3CsGe,1.3027433156967163,https://elagente.ca/grafico/ConceptualAtoms_de0bfa77-1d87-4e40-8067-bcb06260ebae,-6.8455963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ab29d855-82c6-4d7b-8cde-307525f3ccb5,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_voUzopBHGplYBB0gLgnoRSNG/structures/Cl3CsGe_7fda4e94/output.json,0.05,0.009418869018556375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_81a27b55-311c-4bea-afa8-79eb8ee81fd8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_1a1b80d4-ac91-49e8-b1a6-3564999d589c,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_de0bfa77-1d87-4e40-8067-bcb06260ebae,Cl3CsGe
