entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1024087-GGA,Zr63S128,-1352.2353515625,-7.07976623854712,191
mp-1077723-GGA,Zr,-51.051902770996094,-8.508650461832682,6
mp-1087-GGA,SrS,-10.05104923248291,-5.025524616241455,2
mp-1096929-GGA,Zr64S127,-1364.031494140625,-7.141526147333115,191
mp-1100827-GGA,Zr40S27,-528.2742919921875,-7.88469092525653,67
mp-1175-GGA,SrS3,-36.123374938964844,-4.5154218673706055,8
mp-1186-GGA,ZrS2,-21.40876007080078,-7.136253356933594,3
mp-1187073-GGA,Sr,-4.914127349853516,-1.6380424499511719,3
mp-1193856-GGA,Zr21S8,-238.45285034179688,-8.222512080751617,29
mp-1196831-GGA,S,-329.66046142578125,-4.120755767822265,80
mp-1197374-GGA,Zr2S,-294.4039306640625,-8.177886962890625,36
mp-1215375-GGA,Zr5S8,-94.70724487304688,-7.2851726825420675,13
mp-1215419-GGA,Zr3S2,-39.327362060546875,-7.865472412109375,5
mp-1215543-GGA,Zr3S4,-53.1973762512207,-7.599625178745815,7
mp-131-GGA,Zr,-17.057579040527344,-8.528789520263672,2
mp-139-GGA,Sr,-3.2753982543945312,-1.6376991271972656,2
mp-1925-GGA,ZrS,-15.370063781738281,-7.685031890869141,2
mp-1950-GGA,SrS2,-28.0955753326416,-4.682595888773601,6
mp-27191-GGA,Zr9S2,-367.46136474609375,-8.351394653320312,44
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-5193-GGA,SrZrS3,-125.97972869873047,-6.298986434936523,20
mp-555760-GGA,S,-36.816444396972656,-4.090716044108073,9
mp-555915-GGA,S,-295.999755859375,-4.111107720269097,72
mp-556269-GGA,S,-294.70147705078125,-4.093076070149739,72
mp-557031-GGA,S,-130.634033203125,-4.082313537597656,32
mp-557376-GGA,S,-81.90609741210938,-4.095304870605469,20
mp-557488-GGA,S,-148.21755981445312,-4.117154439290364,36
mp-557559-GGA,S,-114.04961395263672,-4.073200498308454,28
mp-557869-GGA,S,-198.419921875,-4.133748372395833,48
mp-558014-GGA,S,-99.0181884765625,-4.1257578531901045,24
mp-558760-GGA,SrZrS3,-125.91117858886719,-6.295558929443359,20
mp-558964-GGA,S,-329.54132080078125,-4.119266510009766,80
mp-561370-GGA,S,-361.20086669921875,-4.104555303400213,88
mp-561513-GGA,S,-115.29510498046875,-4.117682320731027,28
mp-567826-GGA,Sr,-6.029794216156006,-1.5074485540390015,4
mp-583072-GGA,S,-426.7192687988281,-4.103069892296424,104
mp-666931-GGA,S,-132.33120727539062,-4.135350227355957,32
mp-673649-GGA,Zr23S32,-415.40924072265625,-7.5528952858664775,55
mp-684749-GGA,Zr3S4,-426.4067077636719,-7.614405495779855,56
mp-7-GGA,S,-24.411096572875977,-4.068516095479329,6
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-77-GGA,S,-132.34112548828125,-4.135660171508789,32
mp-7859-GGA,ZrS,-31.197383880615234,-7.799345970153809,4
mp-83-GGA,S,-227.80361938476562,-4.0679217747279575,56
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-867202-GGA,Sr,-6.557872772216797,-1.6394681930541992,4
mp-95-GGA,Sr,-1.6313024759292603,-1.6313024759292603,1
mp-96-GGA,S,-132.41790771484375,-4.138059616088867,32
mp-9921-GGA,ZrS3,-51.56565856933594,-6.445707321166992,8
mp-994911-GGA,S,-33.06183624267578,-4.132729530334473,8
