chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_f1887c65/output.json,S3SrZr,e_above_hull=0.1478 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_7f7d786e-1dd9-499c-a9b8-e445a00a435d,[],[],0.05,0.14783172607421857,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_46ece9d3-efce-44ee-8653-8ffcb3e590c0,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_053401db-d753-44d7-b789-ec2179ab02e7,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_5ed0e0fa/output.json,S3SrZr,e_above_hull=0.1213 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c9064987-f79b-4d8d-bc69-5908e52b49c6,[],[],0.05,0.12134590148925817,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_4818f721-b01a-4889-a037-6756ea913e7f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_540da03c-e3fe-457a-9f76-bb4d2d4ba5fb,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_2bf42839/output.json,S3SrZr,e_above_hull=0.1227 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8e052cfb-4ffd-495a-abc3-e83c8d8b3720,[],[],0.05,0.12268104553222692,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_2b3f29ce-ce29-48cd-9d11-0ce690b4d67d,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7f41a6ff-bb43-4b02-9703-7faa701909c3,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_b09ce54d/output.json,S3SrZr,e_above_hull=0.1229 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c1f1a625-6230-41fc-ac6d-6f2d9a051fee,[],[],0.05,0.12290725708007777,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_28351a29-00a4-48ce-9373-42a5c439ece4,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7f6b2937-0c62-41af-8a78-86c67d1a65f8,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_2436f59d/output.json,S3SrZr,e_above_hull=0.1273 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_2344e413-6cc9-4a64-9ca4-1521d143ea50,[],[],0.05,0.12726097106933576,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_dbe02a1c-6307-4aaf-988c-816d7ba19b28,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_85fbcad2-5b53-4aa9-b3d4-7cb681e31f61,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_9a115475/output.json,S3SrZr,e_above_hull=0.1518 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_58b392c5-7204-4bbc-b922-be051793daf9,[],[],0.05,0.15175933837890643,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ae194ca2-f8fe-489c-aa75-a998b12b6361,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_86ec1a4b-1d78-4c75-8808-6b8fde48ced9,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_b5fb9017/output.json,S3SrZr,e_above_hull=0.1262 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8c332770-1f60-41e7-9071-61c083386bae,[],[],0.05,0.1261749267578125,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_e85497ad-4ad5-480e-b5ec-7c806a1ae09f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b5ba3660-cf26-4bda-9301-3c631288b7d5,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_9b5bb7af/output.json,S3SrZr,e_above_hull=0.1308 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_418e5753-2728-4feb-87c1-e7a71182a082,[],[],0.05,0.13076362609863246,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_800f29a7-fdf6-4e07-967b-d99c2502fa2f,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_bde42c12-5112-4fa9-a489-23bebd2239e2,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_4aa8418b/output.json,S3SrZr,e_above_hull=0.1294 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_60102fd2-f26c-41ce-8d0f-883049ac6c1e,[],[],0.05,0.1293773651123047,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b4149248-563a-4ddc-9b39-2e45c3f7c691,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ce9ceb1a-ca6c-4f8a-8400-d8c08c1ef98f,S3SrZr
S3SrZr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_w1rrJlWgXbjBxhYkf9f1RGzn/structures/S3SrZr_71f31f6c/output.json,S3SrZr,e_above_hull=0.1210 eV/atom exceeds cutoff=0.05 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c4a8729b-fb89-4813-be57-38ecd1911415,[],[],0.05,0.12101860046386737,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5c41ba34-208e-4903-aaef-47acad29ac75,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_c373b637-9959-45b4-891f-ac1a633bde30,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fca50925-215a-4da1-b29c-46b18778fba2,S3SrZr
