chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3GeK,1.3872298002243042,https://elagente.ca/grafico/ConceptualAtoms_221d7446-fb07-4a0d-b570-603fa3748874,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ef344c02-d70f-4bbd-b0f7-8a6a8732703e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_98a7b186/output.json,0.05,0.033441352844239436,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_c9bcaa6b-d937-4b2d-af26-b226b98306f6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_221d7446-fb07-4a0d-b570-603fa3748874,Br3GeK
Br3GeK,1.7780811786651611,https://elagente.ca/grafico/ConceptualAtoms_68afc772-283b-4517-b974-82ff13fbc8d2,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_188adb0b-a1b2-4e06-9cc7-aec245de26ec,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_2ac74a0d/output.json,0.05,0.031246948242188655,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1909e3fe-eeb5-41ff-a741-94845584601a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_68afc772-283b-4517-b974-82ff13fbc8d2,Br3GeK
Br3GeK,1.0484938621520996,https://elagente.ca/grafico/ConceptualAtoms_6b70c518-180a-40f5-b443-27d870cc7e78,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c9740a42-ef5f-49aa-af1a-a607a4c6164e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_ba411e57/output.json,0.05,0.035289192199708275,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a9c95ab0-12cc-45ad-97e3-367df02b99bc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6b70c518-180a-40f5-b443-27d870cc7e78,Br3GeK
Br3GeK,0.9579262733459473,https://elagente.ca/grafico/ConceptualAtoms_79885d70-c181-4a22-80db-7cc2d5986e69,-6.895599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_51e65733-be07-469f-86f7-54fc64ad8017,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_0b38d589/output.json,0.05,0.034738349914551936,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_cb289496-a78e-4c78-b33a-f53aede5d4b0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_79885d70-c181-4a22-80db-7cc2d5986e69,Br3GeK
Br3GeK,1.6981725692749023,https://elagente.ca/grafico/ConceptualAtoms_914866cd-c148-448b-abb9-8921a52d4446,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_812fd545-d24f-43aa-ada9-7dab4c3422e4,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_6470cce5/output.json,0.05,0.032245445251466,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_85efc5a8-c133-47e3-8181-45091f281916,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_914866cd-c148-448b-abb9-8921a52d4446,Br3GeK
Br3GeK,1.3545924425125122,https://elagente.ca/grafico/ConceptualAtoms_9a7a289e-1daf-4b4d-9526-8fa308c25cda,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5210525b-25eb-41f0-88f6-efb51b165f30,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_1ac958ca/output.json,0.05,0.03253479003906401,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_54a6c185-5726-4035-b358-73afb44feab6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9a7a289e-1daf-4b4d-9526-8fa308c25cda,Br3GeK
Br3GeK,1.0465552806854248,https://elagente.ca/grafico/ConceptualAtoms_ed07375a-689c-4a02-b64d-ac647ff4f8f0,-7.1956024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_2415010d-9c12-4ce5-9756-d6c16cf68061,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_d4badd40/output.json,0.05,0.03608188629150533,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_08ee5661-de1c-4e6a-86cd-db1032f41283,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_ed07375a-689c-4a02-b64d-ac647ff4f8f0,Br3GeK
Br3GeK,0.9605562090873718,https://elagente.ca/grafico/ConceptualAtoms_f46116fe-fca3-4043-bea8-a8662a4feebc,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_84db31d8-f260-40a2-a8db-b53650e32181,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_f244abfc/output.json,0.05,0.033356094360352806,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9d41be58-66f6-466f-9e63-38b26350240d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f46116fe-fca3-4043-bea8-a8662a4feebc,Br3GeK
Br3GeK,1.8000215291976929,https://elagente.ca/grafico/ConceptualAtoms_f7fc723b-e0c2-4452-a34e-82ea201958c1,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_37154bf7-4752-450a-8892-c8f83b159ff2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_87619079/output.json,0.05,0.031371307373048385,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7becf6f4-af5d-4e07-b578-44014508c657,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_f7fc723b-e0c2-4452-a34e-82ea201958c1,Br3GeK
Br3GeK,0.17927001416683197,https://elagente.ca/grafico/ConceptualAtoms_fc01baae-141e-45fd-90dd-6191d547a30d,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f1f1df00-7b1a-4461-9242-d7f4ea6b1295,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_wD54wCn76U60fjZi8N7kziLF/structures/Br3GeK_8f089ea0/output.json,0.05,0.04101715087890767,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6579cb30-b4ce-40c1-8a7c-1f5bf9c8c57b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_7fa881bc-20bb-4ffe-b9e0-1306f0d81f73,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_fc01baae-141e-45fd-90dd-6191d547a30d,Br3GeK
