entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699028134346008,-0.9699028134346008,1
mp-1007760-GGA,Ge,-18.057727813720703,-4.514431953430176,4
mp-1007976-GGA,Cs,-3.8760151863098145,-0.9690037965774536,4
mp-1012110-GGA,Cs,-3.869502067565918,-0.9673755168914795,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1068340-GGA,CsGeBr3,-15.93572998046875,-3.18714599609375,5
mp-1080106-GGA,Ge,-34.99949645996094,-4.374937057495117,8
mp-1091415-GGA,Ge,-36.11295700073242,-4.514119625091553,8
mp-1096915-GGA,Cs,-0.9699776768684387,-0.9699776768684387,1
mp-1120813-GGA,Br,-49.4336051940918,-1.5448001623153687,32
mp-1181521-GGA,CsGe,-11.172712326049805,-2.793178081512451,4
mp-1182809-GGA,Cs,-3.8800342082977295,-0.9700085520744324,4
mp-11832-GGA,Cs,-1.938151240348816,-0.969075620174408,2
mp-1183694-GGA,Cs,-0.9687301516532898,-0.9687301516532898,1
mp-1183897-GGA,Cs,-19.19329833984375,-0.9596649169921875,20
mp-1184151-GGA,Cs,-27.779661178588867,-0.957919350985823,29
mp-1184708-GGA,GeBr2,-18.772682189941406,-3.1287803649902344,6
mp-1198022-GGA,Ge,-151.87686157226562,-4.4669665168313415,34
mp-1273-GGA,CsGe,-187.32321166992188,-2.9269251823425293,64
mp-128-GGA,Ge,-34.8162841796875,-4.3520355224609375,8
mp-137-GGA,Ge,-52.05698013305664,-4.33808167775472,12
mp-22906-GGA,CsBr,-6.019260406494141,-3.0096302032470703,2
mp-23154-GGA,Br,-6.4519572257995605,-1.6129893064498901,4
mp-27641-GGA,CsBr3,-38.82509994506836,-2.4265687465667725,16
mp-3-GGA,Cs,-1.9376916885375977,-0.9688458442687988,2
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90514373779297,-3.1627143224080405,24
mp-567604-GGA,GeBr4,-56.98493576049805,-2.849246788024902,20
mp-570223-GGA,CsGeBr3,-15.858774185180664,-3.171754837036133,5
mp-571222-GGA,CsBr,-6.10579776763916,-3.05289888381958,2
mp-571246-GGA,GeBr4,-113.9294204711914,-2.848235511779785,40
mp-573579-GGA,Cs,-7.749044895172119,-0.9686306118965149,8
mp-639727-GGA,Cs,-3.8783538341522217,-0.9695884585380554,4
mp-642739-GGA,CsGeBr3,-15.937092781066895,-3.187418556213379,5
mp-672241-GGA,Cs,-7.733438014984131,-0.9666797518730164,8
mp-866501-GGA,CsGe,-93.07669830322266,-2.908646821975708,32
mp-949029-GGA,Cs,-7.64802885055542,-0.9560036063194275,8
mp-998864-GGA,Br,-1.527616024017334,-1.527616024017334,1
