chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
Br3CsGe,2.5174813270568848,https://elagente.ca/grafico/ConceptualAtoms_0c425265-6253-4aee-8d96-a18959316c5d,-6.9456024169921875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d17b9445-7a0a-40fe-9d7d-6583a86b9fdf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_be867cf5/output.json,0.1,0.06063194274902495,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0ac30d85-f1e4-41cd-920d-e0139c5eae01,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_0c425265-6253-4aee-8d96-a18959316c5d,Br3CsGe
Br3CsGe,1.829093337059021,https://elagente.ca/grafico/ConceptualAtoms_430f55de-64a3-4882-863d-fec751d95e30,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c7ef21ea-f604-43b0-be51-386586eb53fb,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_6730910e/output.json,0.1,0.0012136459350600148,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bc2ec3f3-4706-4f8a-99d1-af0a86a790b4,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_430f55de-64a3-4882-863d-fec751d95e30,Br3CsGe
Br3CsGe,1.5989069938659668,https://elagente.ca/grafico/ConceptualAtoms_4aa01189-5bd0-4d2d-a6c3-92503d6f9f96,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_47db202b-09b8-43d9-8373-9d1bd9974480,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_fc93f11a/output.json,0.1,0.000898170471193005,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0c2ca9f4-e10d-48b1-8bb1-58d619c6a24d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4aa01189-5bd0-4d2d-a6c3-92503d6f9f96,Br3CsGe
Br3CsGe,1.4689747095108032,https://elagente.ca/grafico/ConceptualAtoms_618c1239-5443-43a6-ac9e-2cda98fcd745,-7.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_627d8b44-aa9d-4203-91fe-0c9ab8364422,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_95476954/output.json,0.1,0.001399040222169301,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d749b330-3601-48c3-80e5-9c43dca95103,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_618c1239-5443-43a6-ac9e-2cda98fcd745,Br3CsGe
Br3CsGe,1.8049945831298828,https://elagente.ca/grafico/ConceptualAtoms_7333d550-3418-4539-9aae-0561b2b3f179,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_037bbb9c-c92a-4a4e-b20b-d73feab43053,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_b962de83/output.json,0.1,0.0005901336669937862,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ee4a9501-f3f1-4c8b-870b-845d3fa6cdd5,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7333d550-3418-4539-9aae-0561b2b3f179,Br3CsGe
Br3CsGe,1.6742750406265259,https://elagente.ca/grafico/ConceptualAtoms_7d0f8677-bc2e-4764-8a69-8b5e7548e200,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_10989e1a-55ad-488e-abfb-fcd3971b0488,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_b2245236/output.json,0.1,0.0005413055419936086,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_90259e11-5a90-4470-bfa8-46bd07fec173,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_7d0f8677-bc2e-4764-8a69-8b5e7548e200,Br3CsGe
Br3CsGe,1.5070184469223022,https://elagente.ca/grafico/ConceptualAtoms_88950966-eb67-4732-8905-a88c9bb99207,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_bc4b85d3-2b65-49f4-9817-76c71dffe3b9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_53d15a7e/output.json,0.1,0.0016208648681654836,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_257b6d07-45d8-4b0a-a53d-111a6846be53,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_88950966-eb67-4732-8905-a88c9bb99207,Br3CsGe
Br3CsGe,1.543866515159607,https://elagente.ca/grafico/ConceptualAtoms_9bc871c6-320e-4727-ad19-c4ab94681b2d,-7.0955963134765625,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_47bd429e-4375-4079-812e-77f11a3a5c54,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_906285e5/output.json,0.1,0.001050758361818005,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7fd97661-e568-4b65-9f07-c6f60bf9d80d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9bc871c6-320e-4727-ad19-c4ab94681b2d,Br3CsGe
Br3CsGe,1.8999043703079224,https://elagente.ca/grafico/ConceptualAtoms_d919e4dd-da6b-4660-a35b-5fef0e73b55b,-6.9955902099609375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4cb30980-a954-4688-9c58-494d1323c259,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_be592c45/output.json,0.1,0.00041408538818510365,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6476e15a-789a-4e51-becb-46bcf8108c0f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d919e4dd-da6b-4660-a35b-5fef0e73b55b,Br3CsGe
Br3CsGe,1.7297791242599487,https://elagente.ca/grafico/ConceptualAtoms_e3c92e9b-89c2-44e9-b05e-3d2d7b5db8e1,-7.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f7e50095-84fe-40ee-9969-cce55512066d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_Q7toJ8aiTRJoTDnBYrNiZ5C6/structures/Br3CsGe_b281acf7/output.json,0.1,0.0007869720458999474,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_6a6b3659-00bf-4a81-89db-d5630f84be0e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_ca8c6635-96c2-4fff-b6e9-630ca49b4288,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e3c92e9b-89c2-44e9-b05e-3d2d7b5db8e1,Br3CsGe
