entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-100-GGA,Hf,-9.745931625366211,-9.745931625366211,1
mp-10000-GGA,Hf2S,-54.117313385009766,-9.019552230834961,6
mp-1009460-GGA,Hf,-29.62044906616211,-9.873483022054037,3
mp-103-GGA,Hf,-19.877878189086914,-9.938939094543457,2
mp-1087-GGA,SrS,-10.05104923248291,-5.025524616241455,2
mp-1175-GGA,SrS3,-36.1231689453125,-4.5153961181640625,8
mp-1187073-GGA,Sr,-4.913934707641602,-1.637978235880534,3
mp-1196831-GGA,S,-329.66058349609375,-4.120757293701172,80
mp-1206743-GGA,HfS,-17.03912353515625,-8.519561767578125,2
mp-1208643-GGA,SrHfS3,-131.81056213378906,-6.590528106689453,20
mp-139-GGA,Sr,-3.2753982543945312,-1.6376991271972656,2
mp-1950-GGA,SrS2,-28.095510482788086,-4.682585080464681,6
mp-555760-GGA,S,-36.8165283203125,-4.090725368923611,9
mp-555915-GGA,S,-296.001220703125,-4.11112806532118,72
mp-556269-GGA,S,-294.70147705078125,-4.093076070149739,72
mp-557031-GGA,S,-130.6346435546875,-4.082332611083984,32
mp-557376-GGA,S,-81.90584564208984,-4.095292282104492,20
mp-557488-GGA,S,-148.218017578125,-4.117167154947917,36
mp-557559-GGA,S,-114.05014038085938,-4.073219299316406,28
mp-557869-GGA,S,-198.41970825195312,-4.13374392191569,48
mp-558014-GGA,S,-99.01809692382812,-4.125754038492839,24
mp-558964-GGA,S,-329.54046630859375,-4.119255828857422,80
mp-561370-GGA,S,-361.20166015625,-4.104564319957387,88
mp-561513-GGA,S,-115.29537963867188,-4.117692129952567,28
mp-567826-GGA,Sr,-6.029942512512207,-1.5074856281280518,4
mp-583072-GGA,S,-426.72052001953125,-4.103081923264724,104
mp-666931-GGA,S,-132.33084106445312,-4.13533878326416,32
mp-7-GGA,S,-24.41084861755371,-4.068474769592285,6
mp-76-GGA,Sr,-1.6417336463928223,-1.6417336463928223,1
mp-77-GGA,S,-132.34085083007812,-4.135651588439941,32
mp-83-GGA,S,-227.80397033691406,-4.0679280417306085,56
mp-8640-GGA,Hf,-9.845151901245117,-9.845151901245117,1
mp-867202-GGA,Sr,-6.55803108215332,-1.63950777053833,4
mp-95-GGA,Sr,-1.6313023567199707,-1.6313023567199707,1
mp-96-GGA,S,-132.41848754882812,-4.138077735900879,32
mp-985829-GGA,HfS2,-22.9174747467041,-7.639158248901367,3
mp-9922-GGA,HfS3,-54.264564514160156,-6.7830705642700195,8
mp-994911-GGA,S,-33.06196975708008,-4.13274621963501,8
