chemical_formula,output_json_path,phase_stability.chemical_formula,phase_stability.error,phase_stability.instance_iri,phase_stability.rdfs_comment,phase_stability.rdfs_label,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.filter_reason,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_ba589c7c/output.json,HfS3Sr,e_above_hull=0.1343 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_8139bf85-c9be-45ba-a8db-74dcbe8851d0,[],[],0.1,0.13430995941162038,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_9640e914-8666-4497-9ffa-dca1a0b94b3e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_2680112c-ccc7-4394-8122-e462efa305cc,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_39c8a16a/output.json,HfS3Sr,e_above_hull=0.1296 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_856d314e-fad8-4fff-8639-fe31975cae35,[],[],0.1,0.1295782089233395,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_a7bf1f3a-9e62-4d77-b187-758c734be8a1,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_36a1c4f1-8f9c-4fda-8fc7-17058d308e76,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_25456b39/output.json,HfS3Sr,e_above_hull=0.1262 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3552af57-18e6-4a7d-b19e-0ea22bb06ea1,[],[],0.1,0.12622432708740217,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_7e958e42-7b38-49e7-bcce-bed8cef20a25,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6c98a90f-5b7c-4c37-ace0-698f58f8c9c2,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_9e8f84de/output.json,HfS3Sr,e_above_hull=0.1357 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_62c32855-6fbf-40cf-8dbd-e99662965c03,[],[],0.1,0.13566265106201136,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3a174766-9541-44eb-b361-022c74b03821,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_89f39755-43df-4666-a4a3-ce9850cc7d4b,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_dafdc411/output.json,HfS3Sr,e_above_hull=0.1366 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_c2434b5a-cbe0-407d-99ac-fed302a9cc19,[],[],0.1,0.13656063079833913,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_98b8f2de-dfcf-4620-a1d7-78ea400903e9,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9ae493a3-2f50-417b-8ea5-731fe341214e,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_95759cbf/output.json,HfS3Sr,e_above_hull=0.1248 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_beeacc25-41f8-49d5-8782-b01af583858d,[],[],0.1,0.12484188079833913,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_707db6a1-13c2-4c2e-a5aa-72b2f0948496,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9ca0786b-0578-4b79-8dd2-70ace10b8873,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_6fd310dd/output.json,HfS3Sr,e_above_hull=0.1349 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_3c6172f9-4571-4de9-9f5e-84cbc3e88995,[],[],0.1,0.13488063812255824,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f24fc2f8-dc75-40fa-a28e-251056dd630e,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a16163d3-6ddc-441a-bab4-45c4497f1c5f,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_7a672674/output.json,HfS3Sr,e_above_hull=0.1261 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_e2031044-beba-4f94-a066-1c916288e0cb,[],[],0.1,0.1260656356811518,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_39b2f9e1-d756-4a6c-9323-6b98a6f1c55d,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a276a3bf-3053-4b77-a70b-8c09edecb8a5,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_8a9a1c68/output.json,HfS3Sr,e_above_hull=0.1277 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_d619c83f-e0a6-41eb-bc09-3a4c43438b9e,[],[],0.1,0.1277135848999018,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_546d3e4c-2a8e-4f72-8dd9-6f634441899d,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a96860ec-72be-43d6-979c-9ccad591ccae,HfS3Sr
HfS3Sr,/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_T6ZEacPufRTmYmcK5xnmvW3I/structures/HfS3Sr_3a0587fd/output.json,HfS3Sr,e_above_hull=0.1358 eV/atom exceeds cutoff=0.1 eV/atom,https://elagente.ca/ontomlff/MLFFPhaseStabilityFilteredResult_740f1b57-53c3-4900-be6a-fd6c585bdaa6,[],[],0.1,0.13575725555419904,e_above_hull_cutoff,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_8fdff19b-7207-47e7-a40d-dfe8d04147bd,False,https://elagente.ca/ontomlff/MLFFPhaseDiagram_f0c5a5bd-b16e-4c3d-8f87-3cc29726b3c3,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d0699f65-6447-44d0-a640-4c08029a2def,HfS3Sr
