entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1008498-GGA,Ca,-7.074588298797607,-1.7686470746994019,4
mp-1009490-GGA,O2,-9.885466575622559,-4.942733287811279,2
mp-1040874-GGA,CaTi4O9,-238.78297424316406,-8.527963365827288,28
mp-1041565-GGA,TiO2,-106.74785614013672,-8.895654678344727,12
mp-1041570-GGA,CaTi2O4,-113.9544906616211,-8.139606475830078,14
mp-1042523-GGA,Ca2Ti3O8,-212.69796752929688,-8.18069105881911,26
mp-1042976-GGA,CaTi2O5,-133.29220581054688,-8.33076286315918,16
mp-1043835-GGA,CaTi3O7,-373.26318359375,-8.483254172585227,44
mp-1044645-GGA,CaTi2O4,-344.8775939941406,-8.211371285574776,42
mp-1044676-GGA,CaTi2O4,-114.46092224121094,-8.175780160086495,14
mp-1044853-GGA,TiO2,-315.4932861328125,-8.763702392578125,36
mp-1044919-GGA,CaTi2O4,-344.0459899902344,-8.191571190243675,42
mp-1045642-GGA,Ca2Ti9O13,-203.3336181640625,-8.472234090169271,24
mp-1045643-GGA,Ti9O13,-194.2731475830078,-8.830597617409445,22
mp-1045759-GGA,Ti5O7,-211.62120056152344,-8.81755002339681,24
mp-1045983-GGA,CaTiO2,-120.14342498779297,-7.5089640617370605,16
mp-1046693-GGA,CaTi4O6,-186.08248901367188,-8.458294955166904,22
mp-1046793-GGA,Ti2O3,-176.8977508544922,-8.84488754272461,20
mp-1047318-GGA,CaTi2O4,-115.1593017578125,-8.225664411272321,14
mp-1064227-GGA,Ca,-3.8423283100128174,-1.9211641550064087,2
mp-1066100-GGA,O2,-19.737716674804688,-4.934429168701172,4
mp-1071163-GGA,TiO,-53.19889450073242,-8.866482416788736,6
mp-10734-GGA,Ti4O5,-80.3822021484375,-8.931355794270834,9
mp-1076151-GGA,Ca2Ti2O5,-140.24789428710938,-7.7915496826171875,18
mp-1078638-GGA,Ca,-15.326131820678711,-1.9157664775848389,8
mp-1079825-GGA,CaTi2O6,-69.76301574707031,-7.751446194118923,9
mp-1087546-GGA,O2,-39.46110153198242,-4.932637691497803,8
mp-1096860-GGA,Ca2TiO4,-52.797794342041016,-7.542542048863003,7
mp-1096895-GGA,Ca2Ti2O5,-281.34967041015625,-7.81526862250434,36
mp-1101022-GGA,TiO2,-106.726806640625,-8.893900553385416,12
mp-1101295-GGA,Ti2O3,-88.68412017822266,-8.868412017822266,10
mp-1101463-GGA,Ti11O14,-223.16429138183594,-8.926571655273438,25
mp-1147-GGA,Ti3O5,-143.57672119140625,-8.97354507446289,16
mp-1180036-GGA,O2,-19.81652069091797,-4.954130172729492,4
mp-1181883-GGA,CaTi2O6,-279.28448486328125,-7.757902357313368,36
mp-1182183-GGA,CaO10,-111.10198211669922,-5.050090096213601,22
mp-1182382-GGA,CaO10,-112.52047729492188,-5.114567149769176,22
mp-1183455-GGA,Ca,-1.9172297716140747,-1.9172297716140747,1
mp-1183484-GGA,Ca,-7.694908142089844,-1.923727035522461,4
mp-1188323-GGA,Ti2O3,-178.0238037109375,-8.901190185546875,20
mp-1188864-GGA,CaTi2O6,-139.64410400390625,-7.758005777994792,18
mp-1190753-GGA,TiO2,-211.21788024902344,-8.800745010375977,24
mp-1201727-GGA,TiO2,-425.720947265625,-8.869186401367188,48
mp-1203-GGA,TiO,-88.75471496582031,-8.875471496582032,10
mp-1205364-GGA,CaTiO3,-160.88011169433594,-8.044005584716796,20
mp-1215-GGA,Ti2O,-26.01103973388672,-8.67034657796224,3
mp-1217135-GGA,Ti4O3,-60.890506744384766,-8.698643820626396,7
mp-1217152-GGA,Ti2O,-77.31168365478516,-8.590187072753906,9
mp-1217157-GGA,Ti3O4,-62.64940643310547,-8.949915204729352,7
mp-12205-GGA,Ti4O7,-197.37103271484375,-8.971410577947443,22
mp-1244924-GGA,Ti,-763.9343872070312,-7.639343872070312,100
mp-1245006-GGA,Ti,-767.7080078125,-7.677080078125,100
mp-1245051-GGA,Ti3O5,-917.9927368164062,-8.826853238619291,104
mp-1245086-GGA,Ti3O5,-915.6484985351562,-8.804312485914965,104
mp-1245098-GGA,TiO2,-789.468994140625,-8.77187771267361,90
mp-1245134-GGA,TiO2,-788.2633056640625,-8.758481174045139,90
mp-1245135-GGA,Ti3O5,-912.8712158203125,-8.777607844426083,104
mp-1245164-GGA,Ti,-765.3167724609375,-7.653167724609375,100
mp-1245170-GGA,Ti,-762.966064453125,-7.62966064453125,100
mp-1245292-GGA,Ti3O5,-914.5936889648438,-8.79417008620042,104
mp-1245308-GGA,TiO2,-789.4088134765625,-8.771209038628472,90
mp-1245320-GGA,Ti,-765.5978393554688,-7.655978393554688,100
mp-1245321-GGA,TiO2,-788.5891723632812,-8.76210191514757,90
mp-12957-GGA,O2,-39.652076721191406,-4.956509590148926,8
mp-132-GGA,Ca,-3.8433003425598145,-1.9216501712799072,2
mp-1327109-GGA,CaTi2O4,-457.22235107421875,-8.164684840611049,56
mp-1341203-GGA,TiO2,-210.63987731933594,-8.77666155497233,24
mp-1341727-GGA,CaTi5O7,-220.59727478027344,-8.484510568472055,26
mp-1345518-GGA,CaTi2O4,-230.94027709960938,-8.247867039271764,28
mp-1345605-GGA,CaTi2O4,-231.62503051757812,-8.272322518484932,28
mp-1350429-GGA,TiO2,-420.2062072753906,-8.75429598490397,48
mp-1354855-GGA,CaTi2O4,-342.7930908203125,-8.161740257626487,42
mp-1370679-GGA,Ca2Ti2O5,-140.47103881835938,-7.803946601019965,18
mp-1380335-GGA,TiO2,-315.353759765625,-8.75982666015625,36
mp-1386640-GGA,TiO2,-105.47827911376953,-8.789856592814127,12
mp-1387047-GGA,CaTi4O8,-111.40685272216797,-8.569757901705229,13
mp-1390652-GGA,CaTi2O4,-113.76792907714844,-8.126280648367745,14
mp-1397126-GGA,Ca2Ti3O8,-107.55181884765625,-8.273216834435097,13
mp-1400963-GGA,TiO2,-106.52230834960938,-8.876859029134115,12
mp-1403610-GGA,CaTi2O5,-134.264404296875,-8.391525268554688,16
mp-1408285-GGA,TiO2,-105.04695892333984,-8.753913243611654,12
mp-1426806-GGA,TiO2,-26.369182586669922,-8.789727528889975,3
mp-1439-GGA,TiO2,-106.8362808227539,-8.903023401896158,12
mp-1443685-GGA,CaTi4O8,-111.1377182006836,-8.54905524620643,13
mp-1445898-GGA,CaTi2O4,-115.17290496826172,-8.226636069161552,14
mp-15315-GGA,Ca4Ti3O10,-534.4254150390625,-7.859197279986213,68
mp-166-GGA,Ca,-1.9186609983444214,-1.9186609983444214,1
mp-1840-GGA,TiO2,-213.90243530273438,-8.912601470947266,24
mp-21-GGA,Ca,-1.9214398860931396,-1.9214398860931396,1
mp-2420244-GGA,TiO2,-106.9912109375,-8.915934244791666,12
mp-25262-GGA,TiO2,-104.98009490966797,-8.74834124247233,12
mp-25433-GGA,TiO2,-26.35820770263672,-8.78606923421224,3
mp-2591-GGA,Ti3O,-135.71572875976562,-8.482233047485352,16
mp-2605-GGA,CaO,-12.80473518371582,-6.40236759185791,2
mp-2657-GGA,TiO2,-53.36747360229492,-8.89457893371582,6
mp-27273-GGA,Ti9O17,-465.48052978515625,-8.951548649714542,52
mp-30524-GGA,Ti6O11,-304.7415771484375,-8.962987563189339,34
mp-32544-GGA,Ti9O8,-296.72705078125,-8.727266199448529,34
mp-32813-GGA,Ti9O10,-165.51806640625,-8.711477179276315,19
mp-3442-GGA,CaTiO3,-80.33639526367188,-8.033639526367187,10
mp-3463-GGA,CaTi2O4,-116.14691162109375,-8.296207972935267,14
mp-34688-GGA,TiO2,-53.59149169921875,-8.931915283203125,6
mp-390-GGA,TiO2,-53.599090576171875,-8.933181762695312,6
mp-4019-GGA,CaTiO3,-161.1634063720703,-8.058170318603516,20
mp-4163-GGA,Ca3Ti2O7,-186.6406707763672,-7.776694615681966,24
mp-430-GGA,TiO2,-106.28854370117188,-8.857378641764322,12
mp-45-GGA,Ca,-1.9254177808761597,-1.9254177808761597,1
mp-458-GGA,Ti2O3,-89.66899108886719,-8.966899108886718,10
mp-46-GGA,Ti,-15.596229553222656,-7.798114776611328,2
mp-545512-GGA,CaO,-25.343482971191406,-6.335870742797852,4
mp-553432-GGA,TiO2,-79.87321472167969,-8.874801635742188,9
mp-554032-GGA,Ti3O,-67.20683288574219,-8.400854110717773,8
mp-554098-GGA,Ti6O,-114.87483215332031,-8.205345153808594,14
mp-554278-GGA,TiO2,-107.21560668945312,-8.93463389078776,12
mp-556003-GGA,CaTiO3,-80.44332122802734,-8.044332122802734,10
mp-556480-GGA,Ti3O5,-143.5172576904297,-8.969828605651855,16
mp-556724-GGA,Ti7O13,-358.32769775390625,-8.958192443847656,40
mp-556754-GGA,Ti3O5,-143.53683471679688,-8.971052169799805,16
mp-557812-GGA,Ti3O,-203.48776245117188,-8.478656768798828,24
mp-559964-GGA,Ti6O11,-305.000732421875,-8.970609777113971,34
