chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
CaO3Ti,2.0178468227386475,https://elagente.ca/grafico/ConceptualAtoms_183a852f-1f65-4a24-a819-21d9b4e8ab42,-9.845596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e5964c48-1a69-4815-8d5a-2c1b7e13407c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_5ddd01e3/output.json,0.1,0.051654815673828125,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5cfd8a5b-046c-4f75-baaf-65950bdd2339,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_183a852f-1f65-4a24-a819-21d9b4e8ab42,CaO3Ti
CaO3Ti,1.9435904026031494,https://elagente.ca/grafico/ConceptualAtoms_1f9cf440-09a1-4601-979b-ed2c7015cffd,-9.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_66f26148-7f78-4ee7-bd90-ce8cc2043197,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_78bcac1e/output.json,0.1,0.05287628173828196,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_70f8827a-798f-4ca9-b122-8044e9a15577,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1f9cf440-09a1-4601-979b-ed2c7015cffd,CaO3Ti
CaO3Ti,1.8564075231552124,https://elagente.ca/grafico/ConceptualAtoms_23933a8c-b59e-4924-a601-d715cd20ffeb,-9.745590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_c808bf58-6b0d-447f-9663-79019160a681,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_730b8baa/output.json,0.1,0.057830047607421164,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_303cd599-b07d-497f-a6d6-982e965fef6e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_23933a8c-b59e-4924-a601-d715cd20ffeb,CaO3Ti
CaO3Ti,1.7872205972671509,https://elagente.ca/grafico/ConceptualAtoms_27616ea4-ca0c-4607-9ea1-953672502449,-9.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_608fef83-689a-4f12-ad4b-6378b1cfd88d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_2ef260d6/output.json,0.1,0.05810241699218821,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_124f4056-3070-4811-a311-6788208e4925,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_27616ea4-ca0c-4607-9ea1-953672502449,CaO3Ti
CaO3Ti,1.806654691696167,https://elagente.ca/grafico/ConceptualAtoms_4649ccdd-5606-4b37-bada-04309ffdfd44,-9.745590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_61bf3b46-b3c5-42de-b232-5bc7fa087a34,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_a41b92b1/output.json,0.1,0.055497741699218395,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_678f1330-a207-4048-ae05-634682c6cabf,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_4649ccdd-5606-4b37-bada-04309ffdfd44,CaO3Ti
CaO3Ti,1.7588040828704834,https://elagente.ca/grafico/ConceptualAtoms_48d3e841-33b9-40f8-afe8-a162ea3808a8,-9.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_48a21ac1-b342-4a10-b6a2-a877a44bb6d9,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_11a2f37b/output.json,0.1,0.059329986572265625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ec985270-75d7-4a9a-9acf-ea26fc8692bd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_48d3e841-33b9-40f8-afe8-a162ea3808a8,CaO3Ti
CaO3Ti,1.9964067935943604,https://elagente.ca/grafico/ConceptualAtoms_5b70bd36-f5a2-4a14-bbd5-482782d7d509,-9.79559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0d19e1de-bbe4-4a37-bbb8-aa825f012c76,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_182edd96/output.json,0.1,0.05154953002929652,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0593b275-0f11-47c1-b1e7-d7b1fd3c6878,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_5b70bd36-f5a2-4a14-bbd5-482782d7d509,CaO3Ti
CaO3Ti,1.7966939210891724,https://elagente.ca/grafico/ConceptualAtoms_6d5e6148-22b6-4d9f-a80a-ba413fa90c70,-9.695602416992188,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_69d6fe45-59c5-451e-8f8f-a25ba0ac92cc,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_36648048/output.json,0.1,0.05680084228515625,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_0c486d7d-36dd-42b5-b4a3-29cedf5bfdbc,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6d5e6148-22b6-4d9f-a80a-ba413fa90c70,CaO3Ti
CaO3Ti,2.067483425140381,https://elagente.ca/grafico/ConceptualAtoms_99c8b49f-edad-4f52-9d4e-7ccf82cf26c5,-9.845596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_91ec57af-2071-4f1c-a7c9-cf19ffb08f6b,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_4d4ddce9/output.json,0.1,0.049086761474608664,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d68f7992-6e11-4884-ac4c-9102cf73af94,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_99c8b49f-edad-4f52-9d4e-7ccf82cf26c5,CaO3Ti
CaO3Ti,1.833709478378296,https://elagente.ca/grafico/ConceptualAtoms_cf62f126-7e0c-4d39-996e-4d544405e23a,-9.745590209960938,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e28b305b-d8e4-4793-a134-87aaf0093b1d,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_i2jDFV4Epa9ZZ4tTdJtaBMTc/structures/CaO3Ti_749d867b/output.json,0.1,0.057130432128905895,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b1a5a6b8-e75c-432d-9364-a790f0cf225f,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_00df0a10-b07e-4993-885d-151ccc3c15b5,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cf62f126-7e0c-4d39-996e-4d544405e23a,CaO3Ti
