entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1024087-GGA,Zr63S128,-1352.234375,-7.07976112565445,191
mp-1058581-GGA,Ba,-3.8006527423858643,-1.9003263711929321,2
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1077723-GGA,Zr,-51.05229187011719,-8.508715311686197,6
mp-1096840-GGA,Ba,-3.803652286529541,-1.9018261432647705,2
mp-1096929-GGA,Zr64S127,-1364.02685546875,-7.141501861092932,191
mp-1100827-GGA,Zr40S27,-528.2783203125,-7.884751049440299,67
mp-1186-GGA,ZrS2,-21.407390594482422,-7.135796864827474,3
mp-1193856-GGA,Zr21S8,-238.45433044433594,-8.222563118770205,29
mp-1196831-GGA,S,-329.661376953125,-4.120767211914062,80
mp-1197374-GGA,Zr2S,-294.3971252441406,-8.177697923448351,36
mp-1215375-GGA,Zr5S8,-94.7052001953125,-7.285015399639423,13
mp-1215419-GGA,Zr3S2,-39.327552795410156,-7.865510559082031,5
mp-1215543-GGA,Zr3S4,-53.19678497314453,-7.599540710449219,7
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-131-GGA,Zr,-17.057716369628906,-8.528858184814453,2
mp-14883-GGA,Ba4Zr3S10,-105.75275421142578,-6.220750247730928,17
mp-1500-GGA,BaS,-10.182374954223633,-5.091187477111816,2
mp-1925-GGA,ZrS,-15.37025260925293,-7.685126304626465,2
mp-239-GGA,BaS3,-36.91151809692383,-4.6139397621154785,8
mp-27191-GGA,Zr9S2,-367.4578857421875,-8.351315585049717,44
mp-28978-GGA,Ba2S3,-48.51158905029297,-4.851158905029297,10
mp-3813-GGA,Ba2ZrS4,-42.13497543334961,-6.01928220476423,7
mp-41-GGA,Zr,-8.408449172973633,-8.408449172973633,1
mp-540771-GGA,BaZrS3,-127.65003967285156,-6.3825019836425785,20
mp-554172-GGA,Ba3Zr2S7,-147.95359802246094,-6.164733250935872,24
mp-555760-GGA,S,-36.81691360473633,-4.090768178304036,9
mp-555915-GGA,S,-296.0009765625,-4.111124674479167,72
mp-556269-GGA,S,-294.7019348144531,-4.093082427978516,72
mp-556296-GGA,BaS3,-73.58427429199219,-4.599017143249512,16
mp-557031-GGA,S,-130.6343536376953,-4.0823235511779785,32
mp-557376-GGA,S,-81.9055404663086,-4.09527702331543,20
mp-557488-GGA,S,-148.2182159423828,-4.117172665066189,36
mp-557559-GGA,S,-114.05023193359375,-4.073222569056919,28
mp-557869-GGA,S,-198.4195556640625,-4.133740743001302,48
mp-558014-GGA,S,-99.01806640625,-4.125752766927083,24
mp-558964-GGA,S,-329.54034423828125,-4.119254302978516,80
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-561370-GGA,S,-361.2017517089844,-4.104565360329368,88
mp-561513-GGA,S,-115.29525756835938,-4.1176877702985495,28
mp-570384-GGA,Ba,-7.150768280029297,-1.7876920700073242,4
mp-583072-GGA,S,-426.7187194824219,-4.103064610407903,104
mp-605790-GGA,Ba,-1.7207690477371216,-1.7207690477371216,1
mp-666931-GGA,S,-132.3300018310547,-4.135312557220459,32
mp-673649-GGA,Zr23S32,-415.41015625,-7.552911931818182,55
mp-684-GGA,BaS2,-28.6813907623291,-4.780231793721517,6
mp-684749-GGA,Zr3S4,-426.40576171875,-7.614388602120536,56
mp-7-GGA,S,-24.410808563232422,-4.06846809387207,6
mp-77-GGA,S,-132.34103393554688,-4.13565731048584,32
mp-7859-GGA,ZrS,-31.198122024536133,-7.799530506134033,4
mp-83-GGA,S,-227.80218505859375,-4.067896161760602,56
mp-8570-GGA,Ba3Zr2S7,-296.34552001953125,-6.173865000406901,48
mp-8635-GGA,Zr,-8.47892951965332,-8.47892951965332,1
mp-9179-GGA,Ba3Zr2S7,-73.99496459960938,-6.166247049967448,12
mp-96-GGA,S,-132.41868591308594,-4.1380839347839355,32
mp-9921-GGA,ZrS3,-51.56562042236328,-6.44570255279541,8
mp-994911-GGA,S,-33.0618782043457,-4.132734775543213,8
