chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaS3Zr,0.5830729007720947,https://elagente.ca/grafico/ConceptualAtoms_1e646b84-94ce-4bd6-9ed5-97fb7b786839,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_68d28933-7bc7-4b51-af19-9f88454bfe36,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_ddf3d709/output.json,0.1,0.040238189697266336,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f53050ad-71dc-4d9a-b87e-51b1c4a612dd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_1e646b84-94ce-4bd6-9ed5-97fb7b786839,BaS3Zr
BaS3Zr,0.5303494930267334,https://elagente.ca/grafico/ConceptualAtoms_527950ff-7294-40a9-8d8f-2f85ff1a30ab,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_ac391f69-2590-4ab1-a1d4-a6a0f39dfbcf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_77135c81/output.json,0.1,0.04156227111816424,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b575be1e-89e2-4063-9648-7ec8aed8d5b8,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_527950ff-7294-40a9-8d8f-2f85ff1a30ab,BaS3Zr
BaS3Zr,0.5588196516036987,https://elagente.ca/grafico/ConceptualAtoms_6287ed9a-0b2a-438e-af1c-74ec70c3c182,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_d726b24d-c015-45c8-b49e-979282183429,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_728fc734/output.json,0.1,0.04026260375976598,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_143ecfc9-b317-4948-bc8d-d15c46138b3b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6287ed9a-0b2a-438e-af1c-74ec70c3c182,BaS3Zr
BaS3Zr,0.6586690545082092,https://elagente.ca/grafico/ConceptualAtoms_8d6ccfda-0832-4a87-8a15-34ba5882187b,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_eaf69582-118b-42e7-ba48-d2187f7ba1f2,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_fff3de92/output.json,0.1,0.03784484863281268,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_31bc261f-e057-4c22-9e46-852d6c6ac85e,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_8d6ccfda-0832-4a87-8a15-34ba5882187b,BaS3Zr
BaS3Zr,0.5281500816345215,https://elagente.ca/grafico/ConceptualAtoms_9cfe5dab-ac5b-4b71-90ba-7463ea46ca80,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_14bf31d8-f27d-4af2-9f2b-23b83b12e009,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_e2f2c309/output.json,0.1,0.04110603332519602,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_ac9c46a2-ddda-471d-a132-f9d5fa364365,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9cfe5dab-ac5b-4b71-90ba-7463ea46ca80,BaS3Zr
BaS3Zr,0.5802605152130127,https://elagente.ca/grafico/ConceptualAtoms_a64f465d-85e2-4ad5-9c93-98a8e47d1732,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_79d51420-1728-4a28-9288-992050aa572e,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_671b4d57/output.json,0.1,0.040252685546875,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_105b810f-3e30-4605-8913-4ff2779d002b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_a64f465d-85e2-4ad5-9c93-98a8e47d1732,BaS3Zr
BaS3Zr,0.6111084222793579,https://elagente.ca/grafico/ConceptualAtoms_b5d79002-1b37-4c4d-a70e-ccb3f3d917fd,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_6c5f7fe7-785e-489d-9a27-711500af52cf,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_48c68fc4/output.json,0.1,0.038875579833984375,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_1ab8b83e-9edb-4388-822f-ced64b178234,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b5d79002-1b37-4c4d-a70e-ccb3f3d917fd,BaS3Zr
BaS3Zr,0.6249470710754395,https://elagente.ca/grafico/ConceptualAtoms_c4871cfd-b251-42b3-816c-a0adf7301248,-8.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_eed51ce0-9286-4b6f-89d6-59076fcbd5b1,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_6470ca3d/output.json,0.1,0.03920631408691477,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_281a2b84-33cf-4e48-b93d-92d195b6dfcd,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c4871cfd-b251-42b3-816c-a0adf7301248,BaS3Zr
BaS3Zr,0.6204607486724854,https://elagente.ca/grafico/ConceptualAtoms_cf320453-bc1f-4ab7-8465-12369d2fa6ee,-8.095596313476562,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_0385167c-0c15-4529-9c02-e1dae52ec61a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_ac2cc291/output.json,0.1,0.03831787109375018,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_97fa76e6-6ba8-49d1-b85d-ebf1de5ef74d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_cf320453-bc1f-4ab7-8465-12369d2fa6ee,BaS3Zr
BaS3Zr,0.547232985496521,https://elagente.ca/grafico/ConceptualAtoms_e5701131-2e75-45ac-ae41-cb437e955209,-8.04559326171875,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_4516d2c8-57da-4922-865c-f3a8b56b7eea,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_iA6IXDUe0DTVJzw1v3bk9Ijr/structures/BaS3Zr_88fa59ed/output.json,0.1,0.03886451721191442,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_04efbefb-923b-4f87-9afd-41f289af75b7,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_08307b23-53b3-44cb-883e-013213a63bec,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e5701131-2e75-45ac-ae41-cb437e955209,BaS3Zr
