entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1006878-GGA,BaO2,-16.97494125366211,-5.658313751220703,3
mp-1008500-GGA,BaO,-23.509920120239258,-5.8774800300598145,4
mp-1009490-GGA,O2,-9.885539054870605,-4.942769527435303,2
mp-1022725-GGA,Sn,-3.779384136199951,-3.779384136199951,1
mp-1041584-GGA,SnO2,-74.5740966796875,-6.214508056640625,12
mp-1041984-GGA,SnO2,-36.38905334472656,-6.064842224121094,6
mp-1044721-GGA,SnO2,-72.73583984375,-6.061319986979167,12
mp-1056308-GGA,Sn,-3.769486427307129,-3.769486427307129,1
mp-1058581-GGA,Ba,-3.801196813583374,-1.900598406791687,2
mp-1066100-GGA,O2,-19.747638702392578,-4.9369096755981445,4
mp-10679-GGA,Ba,-1.9082295894622803,-1.9082295894622803,1
mp-1078644-GGA,SnO,-44.46986389160156,-5.558732986450195,8
mp-1087546-GGA,O2,-39.462684631347656,-4.932835578918457,8
mp-1096840-GGA,Ba,-3.803342819213867,-1.9016714096069336,2
mp-1105-GGA,BaO2,-17.35942840576172,-5.786476135253906,3
mp-117-GGA,Sn,-7.702747821807861,-3.8513739109039307,2
mp-1178513-GGA,BaSnO3,-62.87041473388672,-6.287041473388672,10
mp-1178514-GGA,BaO,-23.51042938232422,-5.877607345581055,4
mp-1178531-GGA,BaO,-376.67449951171875,-5.8855390548706055,64
mp-1179414-GGA,Sn,-30.18953514099121,-3.7736918926239014,8
mp-1180036-GGA,O2,-19.817928314208984,-4.954482078552246,4
mp-1182164-GGA,BaO6,-73.38368225097656,-5.241691589355469,14
mp-1182169-GGA,BaO6,-73.40203857421875,-5.243002755301339,14
mp-1182327-GGA,BaO4,-107.73085021972656,-5.386542510986328,20
mp-1182404-GGA,BaO10,-112.09291076660156,-5.095132307572798,22
mp-1182433-GGA,BaO4,-107.675048828125,-5.38375244140625,20
mp-1182511-GGA,BaO10,-111.935302734375,-5.087968306107954,22
mp-1182576-GGA,BaO10,-112.18680572509766,-5.099400260231712,22
mp-1190176-GGA,Ba3Sn2,-66.38739013671875,-3.3193695068359377,20
mp-1198148-GGA,BaO10,-222.9759521484375,-5.0676352761008525,44
mp-1198787-GGA,BaO6,-293.9637756347656,-5.249353136335101,56
mp-122-GGA,Ba,-1.9034066200256348,-1.9034066200256348,1
mp-1245076-GGA,SnO,-439.25,-5.490625,80
mp-1245298-GGA,BaO,-571.4830322265625,-5.714830322265625,100
mp-1245311-GGA,BaO,-573.8062133789062,-5.738062133789063,100
mp-1245329-GGA,SnO,-438.8829650878906,-5.486037063598633,80
mp-12957-GGA,O2,-39.651527404785156,-4.9564409255981445,8
mp-12978-GGA,SnO2,-74.38947296142578,-6.1991227467854815,12
mp-1342-GGA,BaO,-11.810688018798828,-5.905344009399414,2
mp-1374892-GGA,SnO2,-147.118896484375,-6.129954020182292,24
mp-1384340-GGA,SnO2,-73.864013671875,-6.15533447265625,12
mp-1390618-GGA,SnO2,-18.19894790649414,-6.06631596883138,3
mp-1401382-GGA,SnO2,-72.47189331054688,-6.039324442545573,12
mp-17325-GGA,Ba5Sn3,-52.07990646362305,-3.2549941539764404,16
mp-18636-GGA,Ba3Sn5,-59.45486831665039,-3.7159292697906494,16
mp-1981-GGA,Ba2Sn,-37.77971267700195,-3.1483093897501626,12
mp-2097-GGA,SnO,-22.704761505126953,-5.676190376281738,4
mp-29243-GGA,Ba3SnO,-21.420398712158203,-4.284079742431641,5
mp-3163-GGA,BaSnO3,-31.45616340637207,-6.291232681274414,5
mp-3359-GGA,Ba2SnO4,-43.76388168334961,-6.251983097621372,7
mp-545552-GGA,SnO,-22.42604637145996,-5.60651159286499,4
mp-545820-GGA,SnO,-45.384498596191406,-5.673062324523926,8
mp-55-GGA,Sn,-3.7681198120117188,-3.7681198120117188,1
mp-550172-GGA,SnO2,-37.28105926513672,-6.213509877522786,6
mp-555487-GGA,SnO2,-223.38198852539062,-6.205055236816406,36
mp-56-GGA,Ba,-3.8077809810638428,-1.9038904905319214,2
mp-560417-GGA,SnO2,-145.89987182617188,-6.079161326090495,24
mp-567510-GGA,BaSn2,-11.306180953979492,-3.7687269846598306,3
mp-570384-GGA,Ba,-7.151541709899902,-1.7878854274749756,4
mp-571353-GGA,BaSn5,-22.87204933166504,-3.8120082219441733,6
mp-605790-GGA,Ba,-1.7207739353179932,-1.7207739353179932,1
mp-607540-GGA,O2,-9.86618423461914,-4.93309211730957,2
mp-610917-GGA,O2,-9.860307693481445,-4.930153846740723,2
mp-611836-GGA,O2,-9.861698150634766,-4.930849075317383,2
mp-623511-GGA,Sn,-3.779235363006592,-3.779235363006592,1
mp-697-GGA,SnO2,-73.368896484375,-6.11407470703125,12
mp-7162-GGA,Sn,-3.7678537368774414,-3.7678537368774414,1
mp-723285-GGA,O2,-39.514163970947266,-4.939270496368408,8
mp-726415-GGA,BaO2,-137.86428833007812,-5.744345347086589,24
mp-7487-GGA,BaO,-23.148509979248047,-5.787127494812012,4
mp-755071-GGA,SnO2,-36.920448303222656,-6.153408050537109,6
mp-768510-GGA,Ba4Sn3O10,-213.3949737548828,-6.276322757496553,34
mp-770846-GGA,Ba3Sn2O7,-150.4508056640625,-6.2687835693359375,24
mp-772086-GGA,Ba4Sn3O10,-211.67706298828125,-6.225795970243566,34
mp-7759-GGA,BaSn3,-30.514341354370117,-3.8142926692962646,8
mp-776658-GGA,BaO,-188.36318969726562,-5.886349678039551,32
mp-84-GGA,Sn,-7.603792667388916,-3.801896333694458,2
mp-856-GGA,SnO2,-37.27882766723633,-6.213137944539388,6
mp-872-GGA,BaSn,-14.28213882446289,-3.5705347061157227,4
mp-949028-GGA,Sn,-175.1460723876953,-3.807523312775985,46
mp-978114-GGA,Sn5O6,-128.2013397216797,-5.827333623712713,22
