chemical_formula,density_of_states.band_gap,density_of_states.computed_on_structure_iri,density_of_states.fermi_level,density_of_states.instance_iri,density_of_states.rdfs_comment,density_of_states.rdfs_label,output_json_path,phase_stability_assessment.cutoff,phase_stability_assessment.e_above_hull,phase_stability_assessment.instance_iri,phase_stability_assessment.passed,phase_stability_assessment.phase_diagram_iri,phase_stability_assessment.rdfs_comment,phase_stability_assessment.rdfs_label,source_identifier,source_identifier_type,structure_iri,structure_name
BaO3Sn,2.1831846237182617,https://elagente.ca/grafico/ConceptualAtoms_6966895a-e4a8-4390-8e72-b58b823406c9,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_e2e7c3b3-0e03-4815-93b1-f098f3764edd,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_c9e8fa0d/output.json,0.1,0.00516548156738228,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_d838da3c-8a36-4120-a267-72280470c6c6,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6966895a-e4a8-4390-8e72-b58b823406c9,BaO3Sn
BaO3Sn,2.225849151611328,https://elagente.ca/grafico/ConceptualAtoms_6e9eba34-5119-4047-ba77-2d2358324df9,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_38f2f952-76d6-47b8-a31b-01c106b4bc79,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_b7fa37c6/output.json,0.1,0.0036231994628899145,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_bddec719-5c4b-44af-b267-7e906c4cee52,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_6e9eba34-5119-4047-ba77-2d2358324df9,BaO3Sn
BaO3Sn,2.212477207183838,https://elagente.ca/grafico/ConceptualAtoms_842cae3d-fa70-4478-b793-13f31889a0ef,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_fe93203c-ce55-40fc-8fd7-9df1182a550a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_c9d27662/output.json,0.1,0.002377700805663352,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3309bdc7-30eb-482b-a8b0-1967a05bc05b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_842cae3d-fa70-4478-b793-13f31889a0ef,BaO3Sn
BaO3Sn,2.197873592376709,https://elagente.ca/grafico/ConceptualAtoms_95162a9c-ef8c-438d-a933-6d44957645a6,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_cfa3b215-39ce-40a2-ae66-e60ce7280233,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_f9cb08ec/output.json,0.1,0.004726791381835405,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_5266572b-732e-4464-ba41-ecbdd1d1b122,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_95162a9c-ef8c-438d-a933-6d44957645a6,BaO3Sn
BaO3Sn,2.2375893592834473,https://elagente.ca/grafico/ConceptualAtoms_95ed6044-bf61-4dea-80e3-ba64eee7f99f,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_5cade12c-3f73-46e7-a458-1a1e6734166c,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_e402a85b/output.json,0.1,0.00461082458496076,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f1c25b12-7e44-4c32-8b7b-44755ece507b,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_95ed6044-bf61-4dea-80e3-ba64eee7f99f,BaO3Sn
BaO3Sn,2.190236806869507,https://elagente.ca/grafico/ConceptualAtoms_9ae25fa6-6add-4259-95b7-060d66c78e9f,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_a5ce78aa-0574-49ec-b1e1-577c80704fa7,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_091834d5/output.json,0.1,0.002572250366210227,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_fcc4c3f9-7975-4657-9d7d-8b9d899fabc0,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_9ae25fa6-6add-4259-95b7-060d66c78e9f,BaO3Sn
BaO3Sn,2.230111598968506,https://elagente.ca/grafico/ConceptualAtoms_b4476233-5d20-4b5d-8926-7551a58d13e6,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_be416aae-e61c-49aa-b6f8-305bd44764fa,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_0e25f019/output.json,0.1,0.0020404815673824572,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_59e0eb7b-33e9-4ad7-9b18-baeba7c7c8f9,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_b4476233-5d20-4b5d-8926-7551a58d13e6,BaO3Sn
BaO3Sn,2.241960048675537,https://elagente.ca/grafico/ConceptualAtoms_c58a7299-6f1b-4700-abca-1efd45052a3d,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_f6e3c0e7-a542-4555-9b95-2d1b16acb45a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_7b0238f9/output.json,0.1,0.003789138793944602,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_f5fd0d18-62c6-4c27-9b00-d0c291f0180a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_c58a7299-6f1b-4700-abca-1efd45052a3d,BaO3Sn
BaO3Sn,2.19748592376709,https://elagente.ca/grafico/ConceptualAtoms_d7baf41c-e51b-4290-b1ea-0fc67d1ec36a,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_3f5a7aeb-0b0a-4d08-b22e-013c37db8b3a,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_c6a2a03f/output.json,0.1,0.0042221069335930395,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_b19a1ad0-1e1b-4170-8c49-1fa493c3248a,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_d7baf41c-e51b-4290-b1ea-0fc67d1ec36a,BaO3Sn
BaO3Sn,2.2074546813964844,https://elagente.ca/grafico/ConceptualAtoms_e1aafb60-f288-4aaa-857f-6420378a69ce,-10.145599365234375,https://elagente.ca/ontomlff/MLFFDensityOfStatesResult_8e613d6a-4a29-4440-a53f-a1fd1e2e5b79,[],[],/scratch/swanickt/akg4pyscf/.graphchat-workspaces/swanickt/call_qy254NdK6bBJombP09EplclN/structures/BaO3Sn_ae343d2b/output.json,0.1,0.004288864135741477,https://elagente.ca/ontomlff/MLFFPhaseStabilityAssessment_3f504dcc-72f7-4da2-9b0f-a1044be13f4d,True,https://elagente.ca/ontomlff/MLFFPhaseDiagram_95a24c9f-3c15-4a37-832a-af8eb7ff4595,[],[],,,https://elagente.ca/grafico/ConceptualAtoms_e1aafb60-f288-4aaa-857f-6420378a69ce,BaO3Sn
